episode	character	value
1	Other	7
1	Kyle	1
1	Kyle	-1
1	Kyle	11
1	Other	1
1	Kyle	8
1	Cartman	5
1	Cartman	-1
1	Kyle	6
1	Kyle	-1
1	Stan	2
1	Stan	-1
1	Kyle	11
1	Cartman	5
1	Kyle	2
1	Cartman	4
1	Stan	2
1	Stan	-1
1	Stan	1
1	Kenny	10
1	Cartman	10
1	Stan	3
1	Stan	-1
1	Kyle	10
1	Other	4
1	Kyle	3
1	Stan	11
1	Cartman	8
1	Kyle	3
1	Cartman	71
1	Stan	2
1	Kyle	1
1	Cartman	1
1	Stan	8
1	Cartman	10
1	Stan	3
1	Kyle	8
1	Cartman	15
1	Chef	3
1	Other	2
1	Stan	7
1	Chef	18
1	Cartman	1
1	Cartman	-1
1	Chef	13
1	Cartman	1
1	Kyle	1
1	Kyle	-1
1	Kyle	3
1	Cartman	11
1	Cartman	-1
1	Cartman	3
1	Chef	14
1	Cartman	1
1	Stan	6
1	Chef	6
1	Chef	-1
1	Chef	1
1	Cartman	1
1	Kyle	2
1	Kyle	-1
1	Kyle	1
1	Chef	10
1	Chef	-1
1	Kyle	5
1	Kyle	-1
1	Kyle	2
1	Cartman	9
1	Stan	9
1	Stan	-1
1	Cartman	1
1	Other	2
1	Cartman	2
1	Cartman	-1
1	Chef	11
1	Chef	-1
1	Chef	8
1	Cartman	1
1	Kyle	12
1	Kyle	-1
1	Cartman	1
1	Cartman	-1
1	Cartman	7
1	Cartman	-1
1	Cartman	5
1	Kyle	7
1	Cartman	2
1	Other	3
1	Kyle	4
1	Other	1
1	Kyle	8
1	Other	1
1	Kyle	3
1	Other	2
1	Stan	4
1	Other	5
1	Kyle	-1
1	Kyle	4
1	Stan	5
1	Kyle	13
1	Other	5
1	Kyle	3
1	Other	5
1	Stan	3
1	Stan	-2
1	Other	4
1	Stan	7
1	Other	1
1	Kyle	3
1	Stan	1
1	Kenny	3
1	Kyle	12
1	Other	3
1	Kyle	6
1	Other	6
1	Kyle	1
1	Other	3
1	Kyle	2
1	Other	1
1	Kyle	1
1	Other	1
1	Stan	8
1	Cartman	7
1	Kyle	11
1	Stan	8
1	Stan	-2
1	Stan	3
1	Other	4
1	Stan	7
1	Other	6
1	Kyle	15
1	Cartman	3
1	Other	21
1	Other	15
1	Other	8
1	Other	1
