character	episode	value
1	1	22.98
2	1	27.13
3	1	13.67
4	1	1.03
5	1	0.0
6	1	9.78
7	1	0.0
8	1	2.96
9	1	2.71
10	1	0.0
11	1	0.0
12	1	0.0
13	1	0.0
14	1	1.03
15	1	0.0
16	1	0.0
17	1	0.0
18	1	0.0
19	1	0.0
20	1	0.0
21	1	0.0
22	1	0.0
23	1	0.0
24	1	0.0
25	1	0.0
26	1	0.0
27	1	0.0
28	1	3.08
29	1	0.0
30	1	0.0
31	1	0.0
1	2	15.57
2	2	6.1
3	2	6.49
4	2	0.45
5	2	0.0
6	2	7.62
7	2	0.0
8	2	9.5
9	2	18.62
10	2	0.32
11	2	0.0
12	2	0.0
13	2	0.0
14	2	0.0
15	2	1.49
16	2	0.0
17	2	0.0
18	2	0.0
19	2	0.0
20	2	0.0
21	2	1.62
22	2	0.0
23	2	0.0
24	2	0.0
25	2	0.0
26	2	0.0
27	2	0.0
28	2	0.0
29	2	0.0
30	2	0.0
31	2	11.13
1	3	14.22
2	3	6.17
3	3	9.48
4	3	1.03
5	3	0.0
6	3	3.46
7	3	4.67
8	3	0.0
9	3	0.53
10	3	0.0
11	3	0.0
12	3	0.0
13	3	0.0
14	3	0.0
15	3	0.0
16	3	0.0
17	3	0.0
18	3	0.0
19	3	0.0
20	3	0.0
21	3	28.08
22	3	0.0
23	3	0.0
24	3	0.0
25	3	0.0
26	3	0.0
27	3	0.0
28	3	2.46
29	3	0.0
30	3	0.0
31	3	9.66
1	4	7.28
2	4	5.09
3	4	18.37
4	4	0.6
5	4	0.0
6	4	9.68
7	4	0.0
8	4	0.0
9	4	8.06
10	4	0.75
11	4	0.0
12	4	0.0
13	4	0.0
14	4	0.0
15	4	0.0
16	4	2.49
17	4	0.0
18	4	0.0
19	4	0.0
20	4	0.0
21	4	10.94
22	4	0.0
23	4	0.0
24	4	0.0
25	4	0.0
26	4	0.0
27	4	0.0
28	4	0.0
29	4	0.0
30	4	0.0
31	4	0.0
1	5	13.93
2	5	17.45
3	5	15.44
4	5	1.35
5	5	0.0
6	5	9.82
7	5	0.66
8	5	0.0
9	5	8.2
10	5	0.12
11	5	0.0
12	5	0.0
13	5	0.0
14	5	0.0
15	5	0.15
16	5	0.81
17	5	0.0
18	5	0.0
19	5	0.0
20	5	0.0
21	5	0.0
22	5	0.0
23	5	0.0
24	5	0.0
25	5	0.0
26	5	0.0
27	5	0.0
28	5	0.0
29	5	0.0
30	5	0.0
31	5	0.0
1	6	8.15
2	6	7.62
3	6	17.76
4	6	2.15
5	6	0.0
6	6	1.31
7	6	2.53
8	6	0.0
9	6	7.96
10	6	0.59
11	6	0.0
12	6	0.0
13	6	0.0
14	6	0.0
15	6	0.0
16	6	3.0
17	6	0.0
18	6	0.0
19	6	0.0
20	6	0.87
21	6	0.0
22	6	0.0
23	6	0.0
24	6	0.0
25	6	9.37
26	6	0.0
27	6	0.0
28	6	1.47
29	6	0.0
30	6	0.0
31	6	0.22
1	7	19.75
2	7	11.75
3	7	15.13
4	7	0.13
5	7	0.0
6	7	12.72
7	7	0.0
8	7	4.08
9	7	6.53
10	7	0.23
11	7	0.0
12	7	0.0
13	7	0.0
14	7	0.0
15	7	0.0
16	7	0.0
17	7	0.0
18	7	0.0
19	7	0.0
20	7	0.0
21	7	0.0
22	7	0.0
23	7	0.0
24	7	0.0
25	7	0.0
26	7	0.0
27	7	0.27
28	7	1.24
29	7	0.0
30	7	4.18
31	7	1.1
1	8	20.07
2	8	7.17
3	8	12.9
4	8	0.33
5	8	0.0
6	8	6.12
7	8	0.0
8	8	0.0
9	8	5.7
10	8	0.27
11	8	0.0
12	8	3.15
13	8	0.0
14	8	0.0
15	8	0.36
16	8	12.69
17	8	0.0
18	8	0.0
19	8	0.0
20	8	0.0
21	8	3.18
22	8	4.59
23	8	0.0
24	8	0.0
25	8	0.0
26	8	0.51
27	8	0.0
28	8	0.24
29	8	0.0
30	8	0.0
31	8	0.0
1	9	20.05
2	9	8.06
3	9	9.67
4	9	0.35
5	9	0.0
6	9	7.54
7	9	0.0
8	9	1.23
9	9	9.36
10	9	0.14
11	9	0.0
12	9	0.0
13	9	0.0
14	9	0.0
15	9	0.18
16	9	0.0
17	9	0.0
18	9	0.0
19	9	0.0
20	9	0.0
21	9	0.32
22	9	0.0
23	9	0.0
24	9	0.0
25	9	0.0
26	9	0.0
27	9	0.0
28	9	0.84
29	9	0.0
30	9	3.19
31	9	0.0
1	10	12.25
2	10	19.46
3	10	9.98
4	10	0.77
5	10	0.0
6	10	2.84
7	10	0.0
8	10	0.83
9	10	10.68
10	10	0.0
11	10	0.0
12	10	6.74
13	10	0.0
14	10	0.27
15	10	0.0
16	10	0.27
17	10	0.0
18	10	0.0
19	10	0.0
20	10	0.0
21	10	0.0
22	10	0.0
23	10	0.0
24	10	3.77
25	10	5.14
26	10	0.0
27	10	0.0
28	10	0.0
29	10	0.0
30	10	0.0
31	10	0.0
1	11	9.64
2	11	5.67
3	11	9.24
4	11	1.36
5	11	0.0
6	11	7.67
7	11	0.0
8	11	16.16
9	11	10.36
10	11	0.17
11	11	0.0
12	11	0.0
13	11	0.0
14	11	0.0
15	11	1.02
16	11	0.0
17	11	0.0
18	11	0.0
19	11	0.0
20	11	0.0
21	11	0.0
22	11	0.0
23	11	0.0
24	11	0.0
25	11	0.0
26	11	0.0
27	11	0.0
28	11	0.0
29	11	0.0
30	11	4.62
31	11	0.0
1	12	18.32
2	12	10.54
3	12	7.89
4	12	0.82
5	12	0.0
6	12	12.37
7	12	0.0
8	12	0.0
9	12	0.39
10	12	0.0
11	12	0.0
12	12	0.0
13	12	0.0
14	12	0.23
15	12	0.0
16	12	0.07
17	12	0.0
18	12	0.0
19	12	0.0
20	12	0.0
21	12	0.85
22	12	0.0
23	12	0.0
24	12	0.0
25	12	0.0
26	12	0.0
27	12	0.0
28	12	0.0
29	12	0.0
30	12	0.0
31	12	0.69
1	13	20.44
2	13	6.7
3	13	11.98
4	13	1.68
5	13	0.0
6	13	9.44
7	13	0.3
8	13	0.0
9	13	4.49
10	13	0.79
11	13	0.0
12	13	2.01
13	13	0.0
14	13	0.0
15	13	0.0
16	13	0.0
17	13	0.0
18	13	0.0
19	13	0.0
20	13	0.79
21	13	2.34
22	13	0.0
23	13	0.0
24	13	0.0
25	13	0.0
26	13	2.71
27	13	0.0
28	13	9.77
29	13	0.0
30	13	0.0
31	13	0.03
1	14	0.09
2	14	0.0
3	14	0.0
4	14	0.0
5	14	0.0
6	14	0.0
7	14	0.0
8	14	0.0
9	14	0.0
10	14	0.0
11	14	0.0
12	14	0.0
13	14	0.0
14	14	0.0
15	14	0.0
16	14	0.0
17	14	0.0
18	14	0.0
19	14	0.0
20	14	0.0
21	14	0.0
22	14	0.0
23	14	0.0
24	14	0.0
25	14	0.0
26	14	1.57
27	14	0.0
28	14	0.0
29	14	0.0
30	14	0.0
31	14	0.0
1	15	11.92
2	15	3.16
3	15	2.95
4	15	1.13
5	15	0.0
6	15	4.86
7	15	0.0
8	15	0.0
9	15	0.89
10	15	0.0
11	15	0.0
12	15	0.0
13	15	0.0
14	15	0.0
15	15	0.0
16	15	0.0
17	15	0.0
18	15	0.0
19	15	0.0
20	15	0.14
21	15	7.27
22	15	0.0
23	15	0.0
24	15	0.0
25	15	0.32
26	15	0.0
27	15	0.0
28	15	5.97
29	15	0.0
30	15	0.0
31	15	3.78
1	16	12.34
2	16	5.53
3	16	7.17
4	16	0.82
5	16	0.0
6	16	0.0
7	16	2.07
8	16	0.0
9	16	0.56
10	16	0.0
11	16	0.0
12	16	0.0
13	16	0.0
14	16	0.0
15	16	0.0
16	16	0.0
17	16	0.0
18	16	0.0
19	16	0.0
20	16	0.0
21	16	0.0
22	16	0.0
23	16	0.0
24	16	0.0
25	16	0.0
26	16	0.0
27	16	0.0
28	16	0.0
29	16	0.0
30	16	0.0
31	16	3.82
1	17	6.49
2	17	18.85
3	17	7.3
4	17	0.32
5	17	0.0
6	17	4.88
7	17	0.0
8	17	0.0
9	17	1.58
10	17	0.0
11	17	0.0
12	17	21.57
13	17	0.0
14	17	1.35
15	17	0.0
16	17	0.0
17	17	0.0
18	17	0.0
19	17	0.0
20	17	0.0
21	17	0.78
22	17	0.0
23	17	0.0
24	17	3.25
25	17	6.61
26	17	0.2
27	17	0.0
28	17	0.0
29	17	0.0
30	17	4.57
31	17	0.0
1	18	4.84
2	18	6.85
3	18	6.0
4	18	0.03
5	18	0.0
6	18	18.12
7	18	0.17
8	18	0.0
9	18	0.0
10	18	0.32
11	18	0.0
12	18	1.86
13	18	0.0
14	18	0.0
15	18	0.29
16	18	0.0
17	18	0.0
18	18	0.0
19	18	0.0
20	18	1.95
21	18	1.11
22	18	0.0
23	18	0.0
24	18	0.93
25	18	12.47
26	18	0.58
27	18	0.0
28	18	0.0
29	18	0.0
30	18	4.08
31	18	6.03
1	19	4.44
2	19	5.09
3	19	11.45
4	19	0.47
5	19	0.0
6	19	0.0
7	19	0.0
8	19	0.0
9	19	4.62
10	19	0.29
11	19	0.0
12	19	1.32
13	19	0.0
14	19	0.0
15	19	0.0
16	19	10.26
17	19	0.0
18	19	0.0
19	19	0.0
20	19	0.0
21	19	34.25
22	19	0.16
23	19	0.0
24	19	0.0
25	19	0.0
26	19	2.78
27	19	0.0
28	19	0.0
29	19	0.0
30	19	0.0
31	19	0.0
1	20	12.86
2	20	14.43
3	20	17.08
4	20	2.72
5	20	0.0
6	20	0.0
7	20	1.51
8	20	0.29
9	20	0.92
10	20	0.2
11	20	0.0
12	20	2.13
13	20	0.0
14	20	0.0
15	20	0.03
16	20	0.0
17	20	0.0
18	20	0.0
19	20	0.0
20	20	1.96
21	20	0.52
22	20	0.0
23	20	0.0
24	20	0.69
25	20	0.82
26	20	1.08
27	20	0.0
28	20	1.6
29	20	0.0
30	20	0.0
31	20	1.21
1	21	9.17
2	21	7.51
3	21	8.42
4	21	0.47
5	21	0.0
6	21	2.94
7	21	0.0
8	21	0.0
9	21	11.21
10	21	0.0
11	21	0.0
12	21	0.0
13	21	0.0
14	21	0.0
15	21	0.0
16	21	0.0
17	21	0.0
18	21	0.0
19	21	0.0
20	21	0.0
21	21	10.61
22	21	0.0
23	21	0.0
24	21	0.0
25	21	0.0
26	21	0.0
27	21	0.0
28	21	0.0
29	21	0.0
30	21	0.0
31	21	12.58
1	22	10.81
2	22	16.14
3	22	6.82
4	22	0.98
5	22	0.0
6	22	8.66
7	22	0.0
8	22	3.33
9	22	3.36
10	22	0.0
11	22	0.0
12	22	0.0
13	22	0.0
14	22	0.0
15	22	0.0
16	22	0.0
17	22	0.0
18	22	0.0
19	22	0.0
20	22	0.0
21	22	0.0
22	22	0.0
23	22	0.0
24	22	0.0
25	22	0.36
26	22	0.0
27	22	0.0
28	22	0.0
29	22	0.0
30	22	0.0
31	22	2.95
1	23	8.89
2	23	15.05
3	23	8.39
4	23	0.79
5	23	0.0
6	23	2.55
7	23	2.61
8	23	0.0
9	23	2.08
