word	count
shit	17
ass	12
asshole	12
cock	10
piiiss	5
balls	4
bitch	4
tampon	3
titties	3
fat	3
pussy	3
shitballs	3
jew	3
aaass	3
jews	3
dickshit	2
dickfart	2
butthole	2
sshshit	2
titty	2
wiener	2
hell	2
wieners	2
asspussy	2
sex	2
fucking	1
cocknose	1
cocknut	1
assholelicking	1
jizz	1
cumballs	1
boner	1
penises	1
crapfilled	1
dickface	1
buttmunch	1
asscheeks	1
ginger	1
dick	1
cocksucker	1
douche	1
shithead	1
dicktits	1
dickhead	1
vagina	1
jewish	1
faggot	1
ho	1
shitfag	1
goddamn	1
dumbshit	1
vaginal	1
retard	1
