character	value	profanities	line	profanityList
Cartman	21	0	Doodoo doot doo, dadadadada daa, ya da dadaa Doodoo doot doo, dadada daa, heydy heydy heydy, how's it goin', guys?	[]
Kyle	9	1	What the hell are you so happy about, fatass?!	['hell']
Cartman	6	0	Oh, nothing. No big deal, really.	[]
Stan	5	0	What's no big deal?	[]
Cartman	17	0	Well, guys, it seems that I am the first one of us to reach manhood after all.	[]
Kyle	7	1	...What the hell are you talking about?!	['hell']
Cartman	15	0	Well, because, unlike you guys, I just got my first pubes! Ayada da daa, yadadadadee!	[]
Kenny	3	0	(You got pubes??)	[]
Kyle	3	0	What's pubes?	[]
Stan	11	0	Pubic hair. He's saying he got his first pubic hair.	[]
Kyle	5	0	Oh.  No you didn't!	[]
Cartman	9	0	Oh yes I did! I'm becoming a man!	[]
Stan	3	0	He's lying.	[]
Cartman	4	0	You wanna see 'em?	[]
Kyle	2	1	Hell no!	['hell']
Cartman	4	0	Here, check 'em out.	[]
Stan	7	0	We don't wanna see them, Cartman!	[]
Cartman	9	0	There, see?! How do you like them apples!  HA!	[]
Kyle	4	0	Uh what are those?	[]
Cartman	2	0	My pubes.	[]
Stan	1	0	What??	[]
Cartman	6	0	I got 'em from Scott Tenorman.	[]
Kyle	5	0	Scott Tenorman? The ninth grader?	[]
Cartman	28	0	Yup. He let me have 'em for just ten bucks. Ha ha ha! I got pubes 'fore you guys did! I got pubes 'fore youuu guys! Ahahahahahahaa ha!	[]
Stan	9	1	Cartman, you are so goddamned stupid, it's unbelievable.	['goddamned']
Cartman	31	0	Don't be jealous, guys.  This doesn't mean we can't still hang out.  It just means that I matured faster than you.  You'll get your pubes guys, someday.	[]
Kyle	10	0	Cartman, you don't buy pubes, you grow them yourself!	[]
Cartman	3	0	Uh oo what?	[]
Stan	19	2	When you get old enough, you grow your own pubic hair that's attached to you, you fuckin' dumbass!	['fuckin', 'dumbass']
Cartman	2	0	Nuh uh!	[]
Kyle	2	0	Yuh huh!	[]
Cartman	13	0	But then why would Scott Tenorman sell me his pubes for ten dollars?	[]
Kyle	15	1	Because, retard, you're dumb enough to buy Scott Tenorman's pubes for ten dollars!	['retard']
Cartman	9	0	You're telling me these pubes are worth nothing.	[]
Kyle	1	0	Yeah.	[]
Cartman	10	1	Huh I'm gonna get that son-of-a-bitch.	['bitch']
Scott	24	1	And so I told him, I said Here. I'll sell you my pubes for only ten bucks. And this stupid asshole buys them!	['asshole']
Another boy	2	0	Oh man!	[]
Scott	8	0	Speak of the devil! What do you want?	[]
Cartman	13	0	Uh, yes, I've come to return these pubes that I purchased, please?	[]
Scott	7	0	Uh uh, I don't take returns!	[]
Cartman	40	1	Right, but you see, I didn't realize, when I bought these pubes from you, that you were full of shit! So you can either give me back my ten dollars, or I can go tell my mom on you!	['shit']
Scott	23	0	You would actually tell your mom that you were stupid enough to pay for my pubes? Huh uh, I don't think so!	[]
Cartman	6	0	Just give me back my money...	[]
Scott	3	0	Buyer beware, dude!	[]
Cartman	5	0	Gimme my ten dollars, Scott!	[]
Scott	19	2	Hehey, I said no! Now get your fat little butt out of here before I kick your head in!	['fat', 'butt']
Cartman	25	0	Hello, sir, my name is Kris Kristofferson. I'm with the IRS. I'm here to collect ten dollars that you own in back taxes.	[]
Scott	13	0	You're not from the IRS! You glued my pubes onto your face!	[]
Cartman	12	0	Tax evasion is a very serious offense, sir! I suggest that you...	[]
Scott	12	0	Alright alright. I'll trade you my pubes back for the money.	[]
Cartman	4	0	You will? Oh, cool!	[]
Scott	16	0	How much did I charge? Uh, oh yeah. Ten dollars. You got change for a twenty?	[]
Cartman	11	0	Oh. Uh, lessee.  I only got six dollars and twelve cents.	[]
Scott	20	0	Oh. well... that's okay. Here. Just... give me the six dollars.  And then I'll... give you the twenty.	[]
Cartman	1	0	...Okay.	[]
Scott	13	0	Now, give me the pubes, and I'll give you back two dollars.	[]
Cartman	1	0	Right.	[]
Scott	17	0	Now, give me the twelve cents, and I'll give you the rest of your change back.	[]
Cartman	1	0	Cool.	[]
Scott	13	0	And then give me the twenty, and I'll give you the pubes.	[]
Cartman	4	1	Sweet!  Uh. Oh, goddamnit!	['goddamnit']
Cartman	13	3	That asshole! That big, smelly, ass-sniffin' asshole! I'm gonna get him!	['asshole', 'ass', 'asshole']
Kyle	7	0	Cartman, can I give you some advice?	[]
Cartman	1	0	What?!	[]
Kyle	25	0	Just let it go, dude. You only had sixteen dollars and twelve cents. Count all your losses and move on. He's smarter than you.	[]
Cartman	26	0	He is not smarter than me! He just charmed me, that's all! He's a charmer, that Scott Tenorman!! But I'll get him someday!!	[]
Kyle	2	0	One please.	[]
Stan	2	0	One please.	[]
Kenny	2	0	(One please.)	[]
Cartman	2	0	One please.	[]
Clerk	5	0	That'll be six dollars.	[]
Cartman	9	0	O-kay, and how much is that in pubes?	[]
Clerk	5	0	We don't take pubes!	[]
Cartman	22	0	Listen, my money is as good as anybody's! Don't you, uh, discriminate against my people by not accepting these pubes.	[]
Clerk	8	0	We don't take pubes!! End of story!!	[]
Cartman	1	0	Racist!	[]
Cartman	35	0	Scott, Scott! Courtney Love is in South Park! She's all drunk and spreading her legs and showing her poonanner to everybody! You gotta go check it out! I'll watch your house for ya!	[]
Scott	8	0	Okay, I'll buy the pubes back! Here!	[]
Cartman	1	0	What?	[]
Scott	19	0	Sixteen dollars! Take it! I-I'll even throw in an extra five! Here! Give me back my pubes!	[]
Cartman	11	0	Wha-? Uh oo  why do you want then back so much?	[]
Scott	2	0	No reason.	[]
Cartman	5	0	I don't believe you.	[]
Scott	8	1	Alright alright! The pube fair in Fort Collins.	['pube']
Cartman	2	1	Pube fair?	['pube']
Scott	19	0	They're paying five bucks a hair for pubes! If I leave now, I can catch the last bus!	[]
Cartman	11	0	Five bucks a hair? The- that's like a million dollars!	[]
Scott	4	0	Hehere, take your money!	[]
Cartman	14	0	Hoho, I don't think so, Scott! I'm going to Fort Collins myself!	[]
Scott	9	0	Oh, you can't do this to me! Nooo!	[]
Cartman	5	0	Haha, charade you are, Scott!	[]
Scott	4	0	Have you no heart??	[]
Cartman	6	1	Ahaaa, what a stupid asshole! Hahahahaha!	['asshole']
Cartman	8	0	Hohoho! I won a million dollars!! Whew! Ow!	[]
Cartman	8	0	Hahaaha! Ha. Ha. Heh. Huh, excuse me, sir.	[]
Man	1	0	Yes?	[]
Cartman	9	1	Can you tell me where the pube fair is?	['pube']
Man	3	1	The pube fair?	['pube']
Cartman	7	0	Yeah, I have some pubes to sell.	[]
Man	8	1	There's no such thing, you little smartass!	['smartass']
