character	episode	value
32	1	28.65
1	1	39.3
2	1	34.44
3	1	45.56
4	1	30.3
5	1	0
6	1	15.92
7	1	0
8	1	42.11
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
24	1	0
25	1	0
26	1	0
27	1	0
28	1	10.1
29	1	0
30	1	0
31	1	0
32	2	12.33
1	2	16.67
2	2	42.55
3	2	20.0
4	2	71.43
5	2	0
6	2	17.02
7	2	0
8	2	3.41
9	2	5.23
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
24	2	0
25	2	0
26	2	0
27	2	0
28	2	0
29	2	0
30	2	0
31	2	0
32	3	17.46
1	3	37.59
2	3	11.56
3	3	30.08
4	3	68.97
5	3	0
6	3	20.62
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	21.57
22	3	0
23	3	0
24	3	0
25	3	0
26	3	0
27	3	0
28	3	14.49
29	3	0
30	3	0
31	3	3.69
32	4	31.77
1	4	78.19
2	4	29.41
3	4	39.15
4	4	100.0
5	4	0
6	4	18.58
7	4	0
8	4	0
9	4	29.74
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	12.05
17	4	0
18	4	0
19	4	0
20	4	0
21	4	19.18
22	4	0
23	4	0
24	4	0
25	4	0
26	4	0
27	4	0
28	4	0
29	4	0
30	4	0
31	4	0
32	5	18.32
1	5	47.41
2	5	18.93
3	5	15.56
4	5	0
5	5	0
6	5	3.06
7	5	0
8	5	0
9	5	10.99
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
24	5	0
25	5	0
26	5	0
