word	count
crap	66
balls	59
nigger	41
hell	37
shit	23
ass	19
asshole	18
fucking	13
gay	13
bitch	12
fuck	12
wiener	11
damn	11
cock	10
jew	10
penis	9
goddammit	8
snuke	8
faggot	7
jews	7
sex	7
tampon	5
bullcrap	5
heroin	5
fat	5
assholes	5
piiiss	5
pussy	4
damned	4
nuts	4
dammit	4
fatso	4
rape	4
fuckin	4
titties	3
butthole	3
retarded	3
penises	3
shitballs	3
goddamned	3
goddamn	3
goddamnit	3
aaass	3
titty	2
sshshit	2
crapped	2
asspussy	2
bastard	2
shithead	2
dyke	2
poo	2
retard	2
dickshit	2
dickfart	2
ballsucking	2
douche	2
farts	2
vagina	2
wieners	2
jewish	2
fucked	2
ho	2
cocknut	1
scrotum	1
jizz	1
dumbasses	1
swollenballs	1
ginger	1
dick	1
fufufuck	1
niggers	1
sugartits	1
raped	1
dipshit	1
ballsstarving	1
godammit	1
bballs	1
dickhead	1
shitfag	1
dumbshit	1
vaginal	1
cocknose	1
whores	1
cumballs	1
assholelicking	1
hamburgers	1
turd	1
fags	1
bastards	1
boner	1
crapfilled	1
butts	1
dickface	1
buttmunch	1
asscheeks	1
drug	1
couric	1
basement	1
damnit	1
cockroach	1
dicktits	1
cocksucker	1
