character	episode	words	profanities
1	1	23.23	35.81
2	1	27.02	34.21
3	1	13.59	40.82
4	1	1.02	30.3
5	1	0.0	0
6	1	9.86	15.62
7	1	0.0	0
8	1	2.93	42.11
9	1	2.68	0
10	1	0.0	0
11	1	0.0	0
1	2	15.49	16.6
2	2	6.04	47.87
3	2	6.43	10.0
4	2	0.45	71.43
5	2	0.0	0
6	2	7.55	17.02
7	2	0.0	0
8	2	9.58	0
9	2	18.93	3.4
10	2	0.32	0
11	2	0.0	0
1	3	14.23	27.16
2	3	6.11	11.49
3	3	9.41	29.85
4	3	1.09	64.52
5	3	0.0	0
6	3	3.41	20.62
7	3	4.85	0
8	3	0.0	0
9	3	0.53	0
10	3	0.0	0
11	3	0.0	0
1	4	7.27	73.17
2	4	5.05	29.24
3	4	18.55	38.22
4	4	0.59	100.0
5	4	0.0	0
6	4	9.66	18.35
7	4	0.0	0
8	4	0.0	0
9	4	7.97	22.22
10	4	0.74	0
11	4	0.0	0
1	5	13.84	41.58
2	5	17.12	15.13
3	5	15.65	11.03
4	5	1.32	0
5	5	0.0	0
6	5	9.78	2.94
7	5	0.63	0
8	5	0.0	0
9	5	8.23	6.99
10	5	0.12	0
11	5	0.0	0
1	6	8.13	37.74
2	6	7.57	12.15
3	6	17.63	6.96
4	6	2.15	0
5	6	0.0	0
6	6	1.29	0
7	6	2.48	24.69
8	6	0.0	0
9	6	8.16	7.52
10	6	0.61	0
11	6	0.0	0
1	7	19.86	18.3
2	7	11.6	11.4
3	7	14.94	8.85
4	7	0.17	200.0
5	7	0.0	0
6	7	12.59	23.62
7	7	0.0	0
8	7	4.06	0
9	7	6.68	0
10	7	0.23	0
11	7	0.0	0
1	8	20.34	8.45
2	8	7.97	8.62
3	8	9.58	17.92
4	8	0.34	0
5	8	0.0	0
6	8	7.52	9.13
7	8	0.0	0
8	8	1.2	0
9	8	9.55	3.6
10	8	0.14	0
11	8	0.0	0
1	9	12.7	92.96
2	9	19.21	28.24
3	9	9.92	9.65
4	9	0.73	43.48
5	9	0.0	0
6	9	2.81	0
7	9	0.0	0
8	9	0.89	0
9	9	10.56	6.04
10	9	0.0	0
11	9	0.0	0
1	10	20.01	14.77
2	10	7.09	16.67
3	10	12.89	18.35
4	10	0.33	90.91
5	10	0.0	0
6	10	6.09	9.71
7	10	0.0	0
8	10	0.0	0
9	10	5.7	10.36
10	10	0.27	0
11	10	0.0	0
1	11	9.52	17.48
2	11	5.56	23.95
