character	episode	value
1	1	23.23
2	1	27.02
3	1	13.59
4	1	1.02
5	1	0.0
6	1	9.86
7	1	0.0
8	1	2.93
9	1	2.68
10	1	0.0
11	1	0.0
1	2	15.49
2	2	6.04
3	2	6.43
4	2	0.45
5	2	0.0
6	2	7.55
7	2	0.0
8	2	9.58
9	2	18.93
10	2	0.32
11	2	0.0
1	3	14.23
2	3	6.11
3	3	9.41
4	3	1.09
5	3	0.0
6	3	3.41
7	3	4.85
8	3	0.0
9	3	0.53
10	3	0.0
11	3	0.0
1	4	7.27
2	4	5.05
3	4	18.55
4	4	0.59
5	4	0.0
6	4	9.66
7	4	0.0
8	4	0.0
9	4	7.97
10	4	0.74
11	4	0.0
1	5	13.84
2	5	17.12
3	5	15.65
4	5	1.32
5	5	0.0
6	5	9.78
7	5	0.63
8	5	0.0
9	5	8.23
10	5	0.12
11	5	0.0
1	6	8.13
2	6	7.57
3	6	17.63
4	6	2.15
5	6	0.0
6	6	1.29
7	6	2.48
8	6	0.0
9	6	8.16
10	6	0.61
11	6	0.0
1	7	19.86
2	7	11.6
3	7	14.94
4	7	0.17
5	7	0.0
6	7	12.59
7	7	0.0
8	7	4.06
9	7	6.68
10	7	0.23
11	7	0.0
1	8	20.34
2	8	7.97
3	8	9.58
4	8	0.34
5	8	0.0
6	8	7.52
7	8	0.0
8	8	1.2
9	8	9.55
10	8	0.14
11	8	0.0
1	9	12.7
2	9	19.21
3	9	9.92
4	9	0.73
5	9	0.0
6	9	2.81
7	9	0.0
8	9	0.89
9	9	10.56
10	9	0.0
11	9	0.0
1	10	20.01
2	10	7.09
3	10	12.89
4	10	0.33
5	10	0.0
6	10	6.09
7	10	0.0
8	10	0.0
9	10	5.7
10	10	0.27
11	10	0.0
1	11	9.52
2	11	5.56
3	11	9.09
4	11	1.33
5	11	0.0
6	11	7.73
7	11	0.0
8	11	16.28
9	11	10.32
10	11	0.2
11	11	0.0
1	12	18.43
2	12	10.52
3	12	7.78
4	12	0.84
5	12	0.0
6	12	12.36
7	12	0.0
8	12	0.0
9	12	0.39
10	12	0.0
11	12	0.0
1	13	20.24
2	13	6.62
3	13	11.78
4	13	1.87
5	13	0.0
6	13	9.3
7	13	0.29
8	13	0.0
9	13	4.45
10	13	0.77
11	13	0.0
1	14	0.08
2	14	0.0
3	14	0.0
4	14	0.0
5	14	0.0
6	14	0.0
7	14	0.0
8	14	0.0
