character	episode	value
1	1	22.98
2	1	27.13
3	1	13.67
4	1	1.03
5	1	0.0
6	1	9.78
7	1	0.0
8	1	2.96
9	1	2.71
10	1	0.0
11	1	0.0
12	1	0.0
13	1	0.0
14	1	1.03
15	1	0.0
16	1	0.0
17	1	0.0
1	2	15.57
2	2	6.1
3	2	6.49
4	2	0.45
5	2	0.0
6	2	7.62
7	2	0.0
8	2	9.5
9	2	18.62
10	2	0.32
11	2	0.0
12	2	0.0
13	2	0.0
14	2	0.0
15	2	1.49
16	2	0.0
17	2	0.0
1	3	14.22
2	3	6.17
3	3	9.48
4	3	1.03
5	3	0.0
6	3	3.46
7	3	4.67
8	3	0.0
9	3	0.53
10	3	0.0
11	3	0.0
12	3	0.0
13	3	0.0
14	3	0.0
15	3	0.0
16	3	0.0
17	3	0.0
1	4	7.28
2	4	5.09
3	4	18.37
4	4	0.6
5	4	0.0
6	4	9.68
7	4	0.0
8	4	0.0
9	4	8.06
10	4	0.75
11	4	0.0
12	4	0.0
13	4	0.0
14	4	0.0
15	4	0.0
16	4	2.49
17	4	0.0
1	5	13.93
2	5	17.45
3	5	15.44
4	5	1.35
5	5	0.0
6	5	9.82
7	5	0.66
8	5	0.0
9	5	8.2
10	5	0.12
11	5	0.0
12	5	0.0
13	5	0.0
14	5	0.0
15	5	0.15
16	5	0.81
17	5	0.0
1	6	8.15
2	6	7.62
3	6	17.76
4	6	2.15
5	6	0.0
6	6	1.31
7	6	2.53
8	6	0.0
9	6	7.96
10	6	0.59
11	6	0.0
12	6	0.0
13	6	0.0
14	6	0.0
15	6	0.0
16	6	3.0
17	6	0.0
1	7	19.75
2	7	11.75
3	7	15.13
4	7	0.13
5	7	0.0
6	7	12.72
7	7	0.0
8	7	4.08
9	7	6.53
10	7	0.23
11	7	0.0
12	7	0.0
13	7	0.0
14	7	0.0
15	7	0.0
16	7	0.0
17	7	0.0
1	8	20.05
2	8	8.06
3	8	9.67
4	8	0.35
5	8	0.0
6	8	7.54
7	8	0.0
8	8	1.23
9	8	9.36
10	8	0.14
11	8	0.0
12	8	0.0
13	8	0.0
14	8	0.0
15	8	0.18
16	8	0.0
17	8	0.0
1	9	12.25
2	9	19.46
3	9	9.98
4	9	0.77
5	9	0.0
6	9	2.84
7	9	0.0
8	9	0.83
9	9	10.68
10	9	0.0
11	9	0.0
12	9	6.74
13	9	0.0
14	9	0.27
15	9	0.0
16	9	0.27
17	9	0.0
1	10	20.07
2	10	7.17
3	10	12.9
4	10	0.33
5	10	0.0
6	10	6.12
7	10	0.0
8	10	0.0
9	10	5.7
10	10	0.27
11	10	0.0
12	10	3.15
13	10	0.0
14	10	0.0
15	10	0.36
16	10	12.69
17	10	0.0
1	11	9.64
2	11	5.67
3	11	9.24
4	11	1.36
5	11	0.0
6	11	7.67
7	11	0.0
8	11	16.16
9	11	10.36
10	11	0.17
11	11	0.0
12	11	0.0
13	11	0.0
14	11	0.0
15	11	1.02
16	11	0.0
17	11	0.0
1	12	18.32
2	12	10.54
3	12	7.89
4	12	0.82
5	12	0.0
6	12	12.37
7	12	0.0
8	12	0.0
9	12	0.39
10	12	0.0
11	12	0.0
12	12	0.0
13	12	0.0
14	12	0.23
15	12	0.0
16	12	0.07
17	12	0.0
1	13	20.44
2	13	6.7
3	13	11.98
4	13	1.68
5	13	0.0
6	13	9.44
7	13	0.3
8	13	0.0
9	13	4.49
10	13	0.79
11	13	0.0
12	13	2.01
13	13	0.0
14	13	0.0
15	13	0.0
16	13	0.0
17	13	0.0
1	14	0.09
2	14	0.0
3	14	0.0
4	14	0.0
5	14	0.0
6	14	0.0
7	14	0.0
8	14	0.0
9	14	0.0
10	14	0.0
11	14	0.0
12	14	0.0
13	14	0.0
14	14	0.0
15	14	0.0
16	14	0.0
17	14	0.0
1	15	11.92
2	15	3.16
3	15	2.95
4	15	1.13
5	15	0.0
6	15	4.86
7	15	0.0
8	15	0.0
9	15	0.89
10	15	0.0
11	15	0.0
12	15	0.0
13	15	0.0
14	15	0.0
15	15	0.0
16	15	0.0
17	15	0.0
1	16	12.34
2	16	5.53
3	16	7.17
4	16	0.82
5	16	0.0
6	16	0.0
7	16	2.07
8	16	0.0
9	16	0.56
10	16	0.0
11	16	0.0
12	16	0.0
13	16	0.0
14	16	0.0
15	16	0.0
16	16	0.0
17	16	0.0
1	17	6.49
2	17	18.85
3	17	7.3
4	17	0.32
5	17	0.0
6	17	4.88
7	17	0.0
8	17	0.0
9	17	1.58
10	17	0.0
11	17	0.0
12	17	21.57
13	17	0.0
14	17	1.35
15	17	0.0
16	17	0.0
17	17	0.0
1	18	4.84
2	18	6.85
3	18	6.0
4	18	0.03
5	18	0.0
6	18	18.12
7	18	0.17
8	18	0.0
9	18	0.0
10	18	0.32
11	18	0.0
12	18	1.86
13	18	0.0
14	18	0.0
15	18	0.29
16	18	0.0
17	18	0.0
1	19	4.44
2	19	5.09
3	19	11.45
4	19	0.47
5	19	0.0
6	19	0.0
7	19	0.0
8	19	0.0
9	19	4.62
10	19	0.29
11	19	0.0
12	19	1.32
13	19	0.0
14	19	0.0
15	19	0.0
16	19	10.26
17	19	0.0
1	20	12.86
2	20	14.43
3	20	17.08
4	20	2.72
5	20	0.0
6	20	0.0
7	20	1.51
8	20	0.29
9	20	0.92
10	20	0.2
11	20	0.0
12	20	2.13
13	20	0.0
14	20	0.0
15	20	0.03
16	20	0.0
17	20	0.0
1	21	9.17
2	21	7.51
3	21	8.42
4	21	0.47
5	21	0.0
6	21	2.94
7	21	0.0
8	21	0.0
9	21	11.21
10	21	0.0
11	21	0.0
12	21	0.0
13	21	0.0
14	21	0.0
15	21	0.0
16	21	0.0
17	21	0.0
1	22	10.81
2	22	16.14
3	22	6.82
4	22	0.98
5	22	0.0
6	22	8.66
7	22	0.0
8	22	3.33
9	22	3.36
10	22	0.0
11	22	0.0
12	22	0.0
13	22	0.0
14	22	0.0
15	22	0.0
16	22	0.0
17	22	0.0
1	23	8.89
2	23	15.05
3	23	8.39
4	23	0.79
5	23	0.0
6	23	2.55
7	23	2.61
8	23	0.0
9	23	2.08
10	23	0.0
11	23	0.0
12	23	0.0
13	23	0.0
14	23	0.0
15	23	0.0
16	23	0.0
17	23	0.0
1	24	15.98
2	24	6.35
3	24	7.92
4	24	0.8
5	24	0.06
6	24	0.28
7	24	0.0
8	24	0.0
9	24	12.31
10	24	0.31
11	24	0.0
12	24	5.84
13	24	0.0
14	24	0.0
15	24	0.0
16	24	0.0
17	24	0.0
1	25	12.54
2	25	6.51
3	25	20.13
4	25	1.24
5	25	0.08
6	25	2.27
7	25	9.28
8	25	4.34
9	25	4.69
10	25	0.03
11	25	0.0
12	25	3.46
13	25	0.0
14	25	0.0
15	25	3.81
16	25	0.0
17	25	0.0
1	26	13.87
2	26	21.21
3	26	10.42
4	26	1.7
5	26	0.0
6	26	0.0
7	26	0.0
8	26	0.0
9	26	0.62
10	26	0.0
11	26	0.0
12	26	0.0
13	26	0.0
14	26	0.0
15	26	0.0
16	26	0.0
17	26	0.0
1	27	8.06
2	27	7.1
3	27	7.58
4	27	0.19
5	27	0.0
6	27	20.08
7	27	0.0
8	27	0.0
9	27	12.14
10	27	0.0
11	27	0.0
12	27	0.03
13	27	0.0
14	27	0.0
15	27	0.0
16	27	0.0
17	27	0.0
1	28	18.6
2	28	10.86
3	28	18.36
4	28	0.49
5	28	0.0
6	28	3.27
7	28	4.22
8	28	0.0
9	28	0.0
10	28	0.0
11	28	0.0
12	28	0.0
13	28	0.0
14	28	0.0
15	28	0.0
16	28	0.0
17	28	0.0
1	29	14.1
2	29	8.09
3	29	8.4
4	29	0.21
5	29	0.0
6	29	0.0
7	29	0.85
8	29	0.0
9	29	0.0
10	29	0.0
11	29	0.0
12	29	0.0
13	29	0.0
14	29	0.0
15	29	0.0
16	29	0.0
17	29	0.0
1	30	5.58
2	30	9.3
3	30	8.78
4	30	0.55
5	30	0.0
6	30	0.0
7	30	0.0
8	30	0.0
9	30	11.19
10	30	0.0
11	30	0.0
12	30	0.0
13	30	0.0
14	30	0.0
15	30	0.0
16	30	0.0
17	30	0.0
1	31	10.52
2	31	12.41
3	31	16.45
4	31	0.58
5	31	0.0
6	31	0.0
7	31	0.0
8	31	0.0
9	31	0.0
10	31	0.0
11	31	0.0
12	31	0.0
13	31	0.0
14	31	0.0
15	31	0.0
16	31	0.0
17	31	0.0
1	32	11.99
2	32	3.83
3	32	3.78
4	32	1.83
5	32	0.0
6	32	0.0
7	32	0.0
8	32	0.0
9	32	2.38
10	32	0.0
11	32	0.25
12	32	10.46
13	32	0.0
14	32	0.0
15	32	0.0
16	32	0.0
17	32	0.0
1	33	12.15
2	33	12.31
3	33	14.93
4	33	0.7
5	33	0.0
6	33	1.39
7	33	16.4
8	33	0.0
9	33	0.37
10	33	0.0
11	33	0.0
12	33	1.39
13	33	0.0
14	33	0.0
15	33	0.0
16	33	1.82
17	33	0.0
1	34	15.12
2	34	10.19
3	34	12.29
4	34	2.46
5	34	0.0
6	34	14.38
7	34	0.0
8	34	0.0
9	34	4.64
10	34	0.0
11	34	0.0
12	34	0.0
13	34	0.0
14	34	0.0
15	34	0.0
16	34	0.0
17	34	0.0
1	35	18.02
2	35	8.93
3	35	12.02
4	35	1.62
5	35	0.0
6	35	0.0
7	35	0.0
8	35	1.04
9	35	0.0
10	35	2.6
11	35	3.67
12	35	0.0
13	35	0.09
14	35	0.0
15	35	1.38
16	35	0.0
17	35	0.0
1	36	20.1
2	36	5.47
3	36	5.0
4	36	0.39
5	36	0.0
6	36	0.45
7	36	0.68
8	36	0.0
9	36	4.22
10	36	0.0
11	36	0.0
12	36	0.18
13	36	0.0
14	36	0.0
15	36	0.0
16	36	0.0
17	36	0.0
1	37	8.63
2	37	4.48
3	37	8.63
4	37	0.28
5	37	0.0
6	37	1.97
7	37	0.0
8	37	0.0
9	37	9.05
10	37	0.79
11	37	0.56
12	37	0.37
13	37	0.0
14	37	0.0
15	37	1.3
16	37	0.0
17	37	0.0
1	38	41.34
2	38	0.0
3	38	0.0
4	38	0.0
5	38	0.0
6	38	0.0
7	38	0.0
8	38	0.0
9	38	0.0
10	38	0.61
11	38	0.0
12	38	0.07
13	38	0.0
14	38	0.0
15	38	0.0
16	38	0.0
17	38	0.0
1	39	0.0
2	39	0.68
3	39	12.3
4	39	0.0
5	39	18.52
6	39	0.0
7	39	16.49
8	39	0.0
9	39	0.75
10	39	0.0
11	39	0.0
12	39	3.97
13	39	0.0
14	39	0.0
15	39	0.0
16	39	0.0
17	39	0.0
1	40	0.0
2	40	12.93
3	40	0.0
4	40	5.25
5	40	0.0
6	40	0.0
7	40	0.0
8	40	0.0
9	40	0.0
10	40	0.0
11	40	0.0
12	40	0.0
13	40	0.0
14	40	0.66
15	40	0.0
16	40	0.0
17	40	0.0
1	41	14.9
2	41	8.6
3	41	9.04
4	41	0.45
5	41	0.0
6	41	0.0
7	41	4.22
8	41	0.15
9	41	2.86
10	41	0.0
11	41	0.0
