season	words	profanities
1	10.758737429055063	2.2674687644608977
2	9.569860295159945	1.728110599078341
3	7.4836119023921475	1.3299701903233203
4	6.898092967818832	1.1039116870650347
5	9.786083107941971	1.1725293132328307
6	6.31075477865905	1.772082878953108
7	9.392820512820514	1.7689451845381088
8	8.936150256758975	1.6531094200997114
9	8.101038967329442	1.195814648729447
10	7.935435435435435	1.4191106906338695
11	8.1751269035533	1.4591741695125737
12	6.412446453444062	0.7786885245901639
13	5.5978222935715785	1.288445552784705
14	4.865544822348278	1.170731707317073
15	7.0906675523082034	0.5687520910003345
16	7.710906827539979	1.4591741695125737
17	6.423103255119188	1.2112403100775193
18	9.391649114112253	0.8905013192612137
