word	count
gay	22
ass	20
fag	20
sexual	12
shitty	11
fuckin	10
damn	9
bastards	8
crap	8
penis	8
butt	7
balls	6
bitch	6
shit	6
goddamnit	5
bastard	5
condom	4
fagshitty	4
whore	4
damnit	4
sex	3
poop	3
bitches	3
fuck	3
penises	3
dickhole	2
goddammit	2
gays	2
homosexual	2
dammit	2
retards	2
bullshit	1
vaginas	1
sexually	1
fagshitter	1
goddamn	1
cocksucking	1
slut	1
sexchange	1
farts	1
nuts	1
fartface	1
motherfuckerrrs	1
gayer	1
jizzfest	1
samesex	1
titties	1
goddamned	1
heterosexual	1
farting	1
asshole	1
dickens	1
shity	1
vaginal	1
queer	1
scum	1
turd	1
faggot	1
homo	1
gaybashing	1
queerloving	1
sexy	1
dick	1
asssucker	1
condoms	1
damned	1
buttforbrains	1
jewish	1
