season	words	profanities
1	12.282492345224167	1.8240778273206324
2	9.642463380059851	1.0617445279320483
3	9.021330633397971	1.1603576184135438
4	8.990679888092439	1.0495304732093538
5	8.177775956396124	1.453269857178652
6	11.55844602732184	1.0122060136945519
7	8.976594391679829	0.5712979890310786
8	11.037377479716739	1.1897174421074994
9	9.735777772395922	0.6467661691542289
10	6.251407692885207	0.5204163330664532
11	7.474809005304703	0.4074702886247878
12	7.511169513797634	0.5598320503848845
13	7.214983713355049	1.2576588197355691
14	6.228045191303522	1.486280487804878
15	5.774203496785519	1.8898931799506984
16	8.19946853079888	0.46715328467153283
17	4.755236050166496	1.5052356020942408
18	6.089892513087383	0.8138351983723296
