character	episode	words	profanities
1	1	22.98	36.59
2	1	27.13	34.44
3	1	13.67	41.0
4	1	1.03	30.3
5	1	0.0	0
6	1	9.78	12.74
7	1	0.0	0
8	1	2.96	42.11
9	1	2.71	0
10	1	0.0	0
11	1	0.0	0
1	2	15.57	16.67
2	2	6.1	37.23
3	2	6.49	5.0
4	2	0.45	71.43
5	2	0.0	0
6	2	7.62	17.02
7	2	0.0	0
8	2	9.5	0
9	2	18.62	3.48
10	2	0.32	0
11	2	0.0	0
1	3	14.22	27.57
2	3	6.17	11.56
3	3	9.48	30.08
4	3	1.03	68.97
5	3	0.0	0
6	3	3.46	20.62
7	3	4.67	0
8	3	0.0	0
9	3	0.53	0
10	3	0.0	0
11	3	0.0	0
1	4	7.28	74.07
2	4	5.09	29.41
3	4	18.37	39.15
4	4	0.6	100.0
5	4	0.0	0
6	4	9.68	15.48
7	4	0.0	0
8	4	0.0	0
9	4	8.06	22.3
10	4	0.75	0
11	4	0.0	0
1	5	13.93	43.1
2	5	17.45	17.21
3	5	15.44	11.67
4	5	1.35	0
5	5	0.0	0
6	5	9.82	3.06
7	5	0.66	0
8	5	0.0	0
9	5	8.2	3.66
10	5	0.12	0
11	5	0.0	0
1	6	8.15	38.31
2	6	7.62	12.3
3	6	17.76	7.03
4	6	2.15	0
5	6	0.0	0
6	6	1.31	0
7	6	2.53	12.35
8	6	0.0	0
9	6	7.96	7.84
10	6	0.59	0
11	6	0.0	0
1	7	19.75	18.64
2	7	11.75	11.4
3	7	15.13	6.64
4	7	0.13	250.0
5	7	0.0	0
6	7	12.72	23.68
7	7	0.0	0
8	7	4.08	0
9	7	6.53	0
10	7	0.23	0
11	7	0.0	0
1	8	20.05	8.74
2	8	8.06	4.35
3	8	9.67	14.49
4	8	0.35	0
5	8	0.0	0
6	8	7.54	9.3
7	8	0.0	0
8	8	1.23	0
9	8	9.36	3.75
10	8	0.14	0
11	8	0.0	0
1	9	12.25	108.99
2	9	19.46	34.31
3	9	9.98	16.72
4	9	0.77	43.48
5	9	0.0	0
6	9	2.84	11.76
7	9	0.0	0
8	9	0.83	0
9	9	10.68	6.25
10	9	0.0	0
11	9	0.0	0
1	10	20.07	14.95
2	10	7.17	16.74
3	10	12.9	13.95
4	10	0.33	90.91
5	10	0.0	0
6	10	6.12	9.8
7	10	0.0	0
8	10	0.0	0
9	10	5.7	10.53
10	10	0.27	0
11	10	0.0	0
1	11	9.64	21.13
2	11	5.67	11.98
3	11	9.24	7.35
4	11	1.36	75.0
5	11	0.0	0
6	11	7.67	4.42
7	11	0.0	0
8	11	16.16	10.5
9	11	10.36	13.11
10	11	0.17	0
11	11	0.0	0
1	12	18.32	26.79
2	12	10.54	21.74
3	12	7.89	4.15
4	12	0.82	0
5	12	0.0	0
6	12	12.37	10.58
7	12	0.0	0
8	12	0.0	0
9	12	0.39	0
10	12	0.0	0
11	12	0.0	0
1	13	20.46	8.06
2	13	6.7	14.78
3	13	11.98	22.04
4	13	1.68	39.22
5	13	0.0	0
6	13	9.44	6.99
7	13	0.3	0
8	13	0.0	0
9	13	4.49	36.76
10	13	0.79	125.0
11	13	0.0	0
1	14	0.09	0
2	14	0.0	0
3	14	0.0	0
4	14	0.0	0
5	14	0.0	0
6	14	0.0	0
7	14	0.0	0
8	14	0.0	0
9	14	0.0	0
10	14	0.0	0
11	14	0.0	0
1	15	11.92	9.07
2	15	3.16	17.09
3	15	2.95	0
4	15	1.13	47.62
5	15	0.0	0
6	15	4.86	0
7	15	0.0	0
8	15	0.0	0
9	15	0.89	0
10	15	0.0	0
11	15	0.0	0
1	16	12.34	10.67
2	16	5.53	17.86
3	16	7.17	9.17
4	16	0.82	160.0
5	16	0.0	0
6	16	0.0	0
7	16	2.07	0
8	16	0.0	0
9	16	0.56	0
10	16	0.0	0
11	16	0.0	0
1	17	6.49	17.7
2	17	18.85	9.15
3	17	7.3	11.81
4	17	0.32	90.91
5	17	0.0	0
6	17	4.88	5.88
7	17	0.0	0
8	17	0.0	0
9	17	1.58	0
10	17	0.0	0
11	17	0.0	0
1	18	4.84	18.07
2	18	6.85	12.77
3	18	6.0	14.56
4	18	0.03	0
5	18	0.0	0
6	18	18.12	12.86
7	18	0.17	166.67
8	18	0.0	0
9	18	0.0	0
10	18	0.32	0
11	18	0.0	0
1	19	4.44	29.24
2	19	5.09	15.31
3	19	11.45	4.54
4	19	0.47	0
5	19	0.0	0
6	19	0.0	0
7	19	0.0	0
