character	value	profanities	line	profanityList
Other	39	0	All right, students, let's take our seats. Everyone try to be nice because we have a new student joining us today, and I know you'll all make him feel welcome. Say hello to... Baahir Hassan Abdul Hakeem.	[]
Cartman	2	0	Uh oh!	[]
Other	5	0	Welcome to our class, Baahir.	[]
Other	2	0	Thank you.	[]
Cartman	4	0	Duhude, dude,  not cool!	[]
Other	14	0	Why don't you take a seat in Kyle's empty desk for now?	[]
Other	1	0	Okay.	[]
Cartman	4	0	Oooh hooohoho. Nooo, noohoohoo.	[]
Other	8	1	Eric, what the hell is wrong with you?!	['hell']
Cartman	9	0	What's wrong?  Has he been checked for bombs?	[]
Other	10	0	Eric, that's enough! Not all Muslim people are terrorists!	[]
Cartman	14	0	No, but most of them are. And all it takes is most of them.	[]
Butters	4	0	Now you go, Baahir.	[]
Kyle	1	0	Yeah?	[]
Cartman	6	0	Kyle, are you on your computer?	[]
Kyle	5	0	What? No, I'm sick.	[]
Cartman	10	0	Get online. I need you to check something for me.	[]
Kyle	4	0	Dude, leave me alone.	[]
Cartman	11	0	Kyle, every one of our friends might be in serious danger!	[]
Kyle	2	0	What? Why?	[]
Cartman	3	0	Get online now!	[]
Kyle	4	0	All right, all right.	[]
Cartman	14	0	Go to MySpace.  See if there's a MySpace page for a Baahir Hakeem.	[]
Kyle	20	0	Baahir Hakeem.  Born in Chicago, eight years old, his favorite color is green... Car, Cartman, what is this all about?	[]
Cartman	16	0	Kyle, I want you to check his buddy list. How many MySpace friends does he have?	[]
Kyle	3	0	Over a hundred.	[]
Cartman	11	0	Look further down the page. Does he list his favorite band?	[]
Kyle	2	0	White Stripes	[]
Cartman	3	0	That's funny.	[]
Kyle	1	0	What?	[]
Cartman	12	0	He told everyone in class today his favorite band was Blink 182.	[]
Cartman	9	0	The following takes place between Recess and Geography class.	[]
Other	1	0	Hello?	[]
Cartman	9	0	Officer Barbrady, South Park Elementary is in serious danger!	[]
Other	5	0	From what? Who is this?	[]
Cartman	26	0	I've just ID'd a Muslim and his MySpace page does not check out. You've got to get these people out of here now!	[]
Other	3	0	Are you serious?	[]
Cartman	11	0	If I wasn't serious, would I be talking like this?	[]
Other	2	0	Like what?	[]
Cartman	8	0	Whispering, but whispering really loudly for dramatic effect.	[]
Other	2	0	Oh jeez.	[]
Other	3	1	What the hell?	['hell']
Other	8	0	All students are to evacuate the school immediately!	[]
