episode	character	value
1	Other	8
1	Kyle	1
1	Kyle	-1
1	Kyle	12
1	Other	1
1	Kyle	9
1	Cartman	5
1	Cartman	-1
1	Kyle	7
1	Kyle	-1
1	Stan	3
1	Stan	-1
1	Kyle	14
1	Cartman	5
1	Kyle	2
1	Cartman	5
1	Stan	3
1	Stan	-1
1	Stan	1
1	Kenny	11
1	Kenny	-1
1	Cartman	13
1	Stan	3
1	Stan	-1
1	Kyle	10
1	Other	5
1	Kyle	3
1	Stan	12
1	Cartman	9
1	Kyle	3
1	Cartman	71
1	Stan	2
1	Kyle	1
1	Cartman	1
1	Stan	9
1	Cartman	10
1	Stan	3
1	Kyle	8
1	Cartman	17
1	Chef	3
1	Other	2
1	Stan	8
1	Chef	19
1	Cartman	1
1	Cartman	-1
1	Chef	13
1	Cartman	1
1	Kyle	1
1	Kyle	-1
1	Kyle	3
1	Cartman	12
1	Cartman	-1
1	Cartman	4
1	Chef	14
1	Cartman	1
1	Stan	6
1	Chef	6
1	Chef	-1
1	Chef	1
1	Cartman	1
1	Kyle	3
1	Kyle	-1
1	Kyle	1
1	Chef	12
1	Chef	-1
1	Kyle	5
1	Kyle	-1
1	Kyle	2
1	Cartman	10
1	Stan	9
1	Stan	-1
1	Cartman	1
1	Other	2
1	Cartman	2
1	Cartman	-1
1	Chef	11
1	Chef	-1
1	Chef	8
1	Cartman	1
1	Kyle	12
1	Kyle	-1
1	Cartman	1
1	Cartman	-1
1	Cartman	8
1	Cartman	-1
1	Cartman	5
1	Kyle	7
1	Cartman	2
1	Other	3
1	Kyle	4
1	Other	1
1	Kyle	9
1	Other	1
1	Kyle	3
1	Other	2
1	Stan	4
1	Other	6
1	Kyle	-1
1	Kyle	5
1	Stan	6
1	Kyle	13
1	Other	5
1	Kyle	3
1	Other	4
1	Stan	3
1	Stan	-2
1	Other	4
1	Stan	7
1	Other	1
1	Kyle	3
1	Stan	1
1	Kenny	2
1	Kyle	12
1	Other	3
1	Kyle	6
1	Other	6
1	Kyle	1
1	Other	3
1	Kyle	2
1	Other	1
1	Kyle	1
1	Other	1
1	Stan	8
1	Cartman	8
1	Kyle	12
1	Stan	9
1	Stan	-2
1	Stan	4
1	Other	4
1	Stan	7
1	Other	6
1	Kyle	15
1	Kyle	-1
1	Cartman	4
1	Other	22
1	Other	15
1	Other	11
1	Other	2
1	Other	8
1	Other	9
1	Other	3
1	Other	5
1	Other	30
1	Other	12
1	Mr. Garrison	15
1	Other	39
1	Kyle	43
1	Stan	10
1	Kyle	20
1	Stan	1
1	Mr. Garrison	5
1	Kyle	8
1	Mr. Garrison	11
1	Kyle	18
1	Kyle	-1
1	Kyle	1
1	Cartman	14
1	Kyle	14
1	Mr. Garrison	10
1	Kyle	12
1	Mr. Garrison	8
1	Kyle	9
1	Other	17
1	Mr. Garrison	10
1	Kyle	-1
1	Kyle	1
1	Cartman	9
1	Cartman	-1
1	Kyle	1
1	Stan	-1
1	Stan	1
1	Cartman	3
1	Cartman	-1
1	Kyle	3
1	Kyle	-1
1	Kyle	1
1	Stan	4
1	Stan	-1
1	Stan	9
1	Cartman	6
1	Mr. Garrison	16
1	Cartman	6
1	Other	50
1	Other	10
1	Other	4
1	Other	3
1	Cartman	6
1	Stan	7
1	Stan	-1
1	Stan	1
1	Cartman	8
1	Kyle	6
1	Stan	1
1	Cartman	8
1	Stan	2
1	Stan	-2
1	Stan	6
1	Cartman	3
1	Cartman	-1
1	Cartman	15
1	Stan	3
1	Wendy	2
1	Other	2
1	Wendy	6
1	Stan	1
1	Wendy	1
1	Other	2
1	Kyle	6
1	Stan	1
1	Stan	-1
1	Stan	13
1	Kyle	6
1	Cartman	5
1	Kenny	11
1	Stan	9
1	Kyle	23
1	Chef	3
1	Other	2
1	Chef	4
1	Kyle	1
1	Chef	2
1	Kyle	13
1	Chef	57
1	Stan	2
1	Chef	4
1	Stan	1
1	Chef	5
1	Stan	1
1	Chef	4
1	Stan	1
1	Chef	7
1	Kyle	1
1	Chef	14
1	Stan	6
1	Chef	18
1	Chef	-1
1	Chef	1
1	Kyle	16
1	Cartman	5
1	Stan	1
1	Cartman	1
1	Kyle	3
1	Chef	19
1	Cartman	15
1	Chef	8
1	Kyle	25
1	Chef	12
1	Cartman	19
1	Chef	12
1	Stan	3
1	Chef	16
1	Other	12
1	Cartman	4
1	Cartman	-1
1	Cartman	1
1	Stan	5
1	Stan	-1
1	Stan	2
1	Cartman	9
1	Cartman	-1
1	Kyle	10
1	Cartman	24
1	Cartman	-1
1	Cartman	40
1	Stan	5
1	Kyle	9
1	Kyle	-1
1	Kyle	6
1	Cartman	4
1	Cartman	-1
1	Cartman	10
