character	episode	value
18	1	28.34
1	1	37.94
2	1	34.44
3	1	45.56
4	1	30.3
5	1	0
6	1	15.92
7	1	0
8	1	42.11
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	2	11.68
1	2	16.67
2	2	42.55
3	2	10.0
4	2	71.43
5	2	0
6	2	17.02
7	2	0
8	2	3.41
9	2	5.23
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	3	16.75
1	3	35.09
2	3	11.56
3	3	30.08
4	3	68.97
5	3	0
6	3	20.62
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	0
17	3	0
18	4	31.17
1	4	78.19
2	4	29.41
3	4	39.15
4	4	100.0
5	4	0
6	4	18.58
7	4	0
8	4	0
9	4	29.74
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	12.05
17	4	0
18	5	14.71
1	5	45.26
2	5	18.93
3	5	13.62
4	5	0
5	5	0
6	5	3.06
7	5	0
8	5	0
9	5	7.33
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	6	18.11
1	6	42.15
2	6	16.39
3	6	8.79
4	6	0
5	6	0
6	6	0
7	6	12.35
8	6	0
9	6	7.84
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	7	14.39
1	7	22.03
2	7	17.09
3	7	6.64
4	7	250.0
5	7	0
6	7	36.84
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	8	9.46
1	8	13.99
2	8	4.35
3	8	14.49
4	8	0
5	8	0
6	8	18.6
7	8	0
8	8	0
9	8	11.24
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	9	30.04
1	9	117.17
2	9	36.02
3	9	16.72
4	9	43.48
5	9	0
6	9	11.76
7	9	0
8	9	0
9	9	9.38
10	9	0
11	9	0
12	9	9.9
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	10	12.9
1	10	19.43
2	10	16.74
3	10	16.28
4	10	90.91
5	10	0
6	10	9.8
7	10	0
8	10	0
9	10	10.53
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	2.36
17	10	0
18	11	9.17
1	11	24.65
2	11	11.98
3	11	11.03
4	11	75.0
5	11	0
6	11	4.42
7	11	0
8	11	10.5
9	11	16.39
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	12	22.25
1	12	32.14
2	12	31.06
3	12	12.45
4	12	0
5	12	0
6	12	26.46
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	13	15.19
1	13	9.69
2	13	19.7
3	13	24.79
4	13	39.22
5	13	0
6	13	10.49
7	13	0
8	13	0
9	13	58.82
10	13	125.0
11	13	0
12	13	16.39
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	14	13.11
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	15	7.03
1	15	9.07
2	15	25.64
3	15	0
4	15	47.62
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	16	11.52
1	16	10.67
2	16	17.86
3	16	9.17
4	16	160.0
5	16	0
6	16	0
7	16	15.87
8	16	0
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	0
16	16	0
17	16	0
18	17	9.19
1	17	30.97
2	17	12.2
3	17	11.81
4	17	90.91
5	17	0
6	17	11.76
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	2.66
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	18	8.16
1	18	24.1
2	18	17.02
3	18	14.56
4	18	0
5	18	0
6	18	12.86
7	18	166.67
8	18	0
9	18	0
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	19	8.57
1	19	29.24
2	19	15.31
3	19	6.8
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	11.24
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	2.53
17	19	0
18	20	15.71
1	20	27.99
2	20	38.55
3	20	9.58
4	20	12.05
5	20	0
6	20	0
7	20	0
8	20	0
9	20	35.71
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	21	18.78
1	21	30.72
2	21	25.0
3	21	33.46
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	39.11
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	22	15.18
1	22	30.3
2	22	16.61
3	22	17.47
4	22	60.61
5	22	0
6	22	30.93
7	22	0
8	22	8.93
9	22	17.7
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
