word	count
shit	133
hell	64
goddamnit	36
sex	32
ass	31
gay	29
asshole	23
fag	21
shitty	19
condom	16
ho	15
vagina	14
sexual	13
condoms	13
balls	12
crap	11
damn	11
fat	11
jew	11
penis	11
gays	11
bastards	9
goddamned	8
damnit	8
fuck	7
meecrob	7
sonofabitch	6
fart	6
bitch	6
goddamn	5
pube	5
homosexual	5
cripple	5
farted	5
sexually	5
damned	4
pussy	4
fagshitty	4
shits	4
nuts	3
poop	3
buttocks	3
assholes	3
jewish	3
fuckin	3
goddammit	3
jews	3
whore	3
gayass	3
retard	2
farting	2
fucking	2
butts	2
douche	2
homosexuality	2
butt	2
slut	2
craphole	2
jackass	2
shitforbrains	2
homosexuals	2
vaginal	2
gaywad	2
shity	2
jerk	2
molester	2
crappy	2
homogenized	2
bastard	2
queer	1
fagshitter	1
ginger	1
titty	1
woodcock	1
penisbiting	1
gaymo	1
fatso	1
fartface	1
molest	1
cocksucking	1
jewboy	1
bitches	1
bullshit	1
sluts	1
prick	1
motherfuckerrrs	1
goddamnnit	1
dickface	1
bullshitting	1
fuckers	1
dammit	1
homophobes	1
shitthe	1
tits	1
motherfucker	1
fireballs	1
boner	1
bullcrap	1
scrotum	1
scumbag	1
cock	1
homophobe	1
bitchscare	1
jizzfest	1
