character	episode	value
1	1	31.83
2	1	30.79
3	1	34.01
4	1	30.3
5	1	0
6	1	12.5
7	1	0
8	1	10.53
9	1	0
10	1	0
11	1	0
1	2	14.52
2	2	21.28
3	2	0
4	2	71.43
5	2	0
6	2	17.02
7	2	0
8	2	0
9	2	3.4
10	2	0
11	2	0
1	3	27.16
2	3	11.49
3	3	18.66
4	3	32.26
5	3	0
6	3	20.62
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
1	4	73.17
2	4	23.39
3	4	38.22
4	4	100.0
5	4	0
6	4	18.35
7	4	0
8	4	0
9	4	18.52
10	4	0
11	4	0
1	5	35.34
2	5	11.76
3	5	11.03
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	3.5
10	5	0
11	5	0
1	6	37.74
2	6	8.1
3	6	6.96
4	6	0
5	6	0
6	6	0
7	6	12.35
8	6	0
9	6	3.76
10	6	0
11	6	0
1	7	14.98
2	7	2.85
3	7	4.42
4	7	200.0
5	7	0
6	7	21.0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
1	8	6.76
2	8	0
3	8	10.75
4	8	0
5	8	0
6	8	4.57
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
1	9	85.43
2	9	23.26
3	9	9.65
4	9	43.48
5	9	0
6	9	0
7	9	0
8	9	0
9	9	6.04
10	9	0
11	9	0
1	10	14.77
2	10	12.5
3	10	13.76
4	10	90.91
5	10	0
6	10	9.71
7	10	0
8	10	0
9	10	5.18
10	10	0
11	10	0
1	11	17.48
2	11	5.99
3	11	7.33
4	11	75.0
5	11	0
6	11	4.31
7	11	0
8	11	10.22
9	11	12.9
10	11	0
11	11	0
1	12	14.01
2	12	12.27
3	12	8.3
4	12	0
5	12	0
6	12	7.83
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
1	13	6.38
2	13	9.76
3	13	10.96
4	13	34.48
5	13	0
6	13	6.94
7	13	0
8	13	0
9	13	36.23
10	13	41.67
11	13	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
1	15	9.05
2	15	0
3	15	0
4	15	47.62
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
1	16	10.58
2	16	17.75
3	16	9.05
4	16	153.85
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
1	17	17.62
2	17	6.0
3	17	11.81
4	17	83.33
5	17	0
6	17	5.81
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
1	18	17.96
2	18	4.2
3	18	14.42
4	18	0
5	18	0
6	18	11.06
7	18	125.0
8	18	0
9	18	0
10	18	0
11	18	0
1	19	23.26
2	19	5.08
3	19	4.48
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	11.17
10	19	0
11	19	0
1	20	25.19
2	20	27.09
3	20	7.62
