word	count
butt	27
bitch	22
hamburgers	14
fat	12
gay	12
bitches	10
balls	10
ho	10
hell	8
shit	7
butthole	7
stinky	6
ass	6
poop	6
fuckin	5
penis	5
motherfuckin	5
fuck	4
jew	4
boobs	4
turd	3
crap	3
asshole	3
tampons	3
raped	3
nuts	3
faggot	3
slut	3
rape	2
drug	2
sex	2
porn	2
pussy	2
jews	2
vagina	2
freak	2
anus	2
sexy	2
douche	2
badass	2
jjewpacabra	2
scraped	2
vaginas	2
crapped	1
douchebag	1
fart	1
damn	1
classes	1
jewboy	1
ogayedmi	1
crippled	1
condoms	1
queef	1
titties	1
fag	1
jewpacabra	1
cheesing	1
dick	1
boobie	1
whore	1
nigger	1
scrotum	1
queer	1
faggy	1
micropenis	1
penisbutt	1
goddamned	1
heroin	1
gassy	1
fucking	1
jewish	1
assholes	1
butts	1
goddamnit	1
titty	1
huhuhorny	1
dumbasses	1
chinballs	1
drugs	1
jackass	1
buttcrack	1
