word	count
hell	159
fat	73
ass	62
crap	46
asshole	33
shit	33
bastards	33
damn	32
fuck	32
balls	30
gay	26
jew	26
goddamnit	25
fucking	24
bitch	24
bastard	24
jewish	22
crack	21
sex	20
douche	19
dammit	16
turd	14
goddammit	14
dumbass	13
damnit	13
dick	13
jews	13
retarded	12
retard	12
goddamned	10
farts	9
poo	8
fart	8
fuckin	7
butt	7
gingers	7
lame	6
goddamn	6
freak	5
penis	5
fucked	5
raped	4
butthole	4
metrosexual	4
vagina	4
jewleeard	3
anal	3
assholes	3
farted	3
boobs	3
hash	3
jewbilee	3
fatso	3
bullcrap	3
streisand	3
cheesing	3
gayass	3
pussy	3
nuts	3
damned	3
whore	3
asses	3
crapped	2
ginger	2
fatty	2
tits	2
fag	2
gays	2
smartass	2
faggy	2
scuzzlebutt	2
shitty	2
dildo	2
mung	2
queer	2
sonofabitch	2
jewpacabra	2
itits	2
queef	2
butts	2
molestered	2
shithead	2
stinky	1
lardbutt	1
porno	1
rape	1
craphole	1
queermos	1
gaywad	1
crippled	1
molested	1
marijawana	1
gafagga	1
homo	1
molest	1
dickhole	1
doucher	1
assface	1
jizz	1
heroin	1
sexy	1
gaywads	1
motherfucker	1
hippoass	1
badass	1
douchebags	1
fags	1
retards	1
oddamnedgay	1
queefing	1
marijuana	1
drugs	1
gayness	1
gaass	1
porn	1
dombass	1
douches	1
ggay	1
boner	1
shity	1
asswipe	1
crapping	1
godddamnit	1
farting	1
ratfucking	1
shitballs	1
fartboy	1
drug	1
bitches	1
poop	1
douchey	1
sexchange	1
tampons	1
pigfucking	1
sssex	1
titty	1
nonginger	1
penises	1
penisbutt	1
analysis	1
vaginal	1
hamburgers	1
