word	count
hell	33
gay	22
ass	20
fag	20
sexual	12
shitty	11
fuckin	10
damn	9
crap	8
bastards	8
penis	8
butt	7
shit	6
balls	6
bitch	6
goddamnit	5
bastard	5
fagshitty	4
damnit	4
condom	4
whore	4
bitches	3
sex	3
fuck	3
poop	3
asses	3
penises	3
smartass	2
dammit	2
molested	2
gays	2
dickhole	2
homosexual	2
goddammit	2
retards	2
stinky	1
gayer	1
drugs	1
drug	1
buttforbrains	1
gaybashing	1
assfaces	1
heterosexual	1
condoms	1
fagshitter	1
asshole	1
cocksucking	1
shity	1
queerloving	1
weed	1
britches	1
farting	1
homo	1
lame	1
samesex	1
fudgepacker	1
jakovasaurs	1
dick	1
queer	1
sexually	1
vaginas	1
nuts	1
fartface	1
sexchange	1
jizzfest	1
bullshit	1
anus	1
jewish	1
motherfuckerrrs	1
faggot	1
damned	1
farts	1
goddamn	1
slut	1
titties	1
sexy	1
dickens	1
scum	1
goddamned	1
asssucker	1
turd	1
vaginal	1
