word	count
hell	133
ass	70
crap	51
shit	50
gay	35
fat	34
damn	30
fuck	28
bitch	27
goddamnit	24
asshole	20
sex	19
douche	18
dick	16
damnit	14
dammit	13
fucking	13
goddammit	13
dumbass	11
jewish	9
balls	8
lame	8
sexual	8
goddamned	8
fucked	8
crappy	8
drugs	7
goddamn	7
farts	7
turd	6
retarded	6
assholes	6
shitty	6
fags	6
boobs	6
ginger	5
asssucker	5
fuckin	5
asses	5
poo	4
freak	4
homosexual	4
badass	4
bullcrap	4
gingers	4
fart	4
buttpipe	4
douchebag	3
condoms	3
fag	3
raped	3
scuzzlebutt	3
butt	3
dildo	3
gaywad	3
porn	3
queef	3
bastards	3
pussy	3
jew	3
crapped	2
marijuana	2
shits	2
gays	2
smartass	2
boneration	2
butthole	2
anal	2
sexy	2
mung	2
crotch	2
queefing	2
homosexuals	2
douchey	2
assmaster	2
farting	2
poop	2
butts	2
slut	2
whore	2
bastard	2
gayer	1
scumbag	1
vaginas	1
condom	1
crack	1
hemolested	1
scums	1
artwhore	1
sexaddiction	1
assfaces	1
queermos	1
goddamnnit	1
dumbasses	1
streisand	1
sonofabitchs	1
superfatass	1
dicketry	1
looongass	1
meecrob	1
fucks	1
pigfucker	1
sluts	1
heroin	1
metrosexual	1
badasses	1
dipshit	1
buttpirate	1
gaywads	1
farted	1
penis	1
molester	1
whatabutt	1
douchebags	1
scuzzlebutts	1
cock	1
shittin	1
homophobes	1
fatso	1
ho	1
kickass	1
queer	1
rectal	1
dickhole	1
lameass	1
douches	1
nonhomos	1
bum	1
cheesing	1
nuts	1
asswipe	1
fartboy	1
jakovasaurs	1
penisbutt	1
bullshit	1
fatasss	1
anus	1
vagina	1
damned	1
supergay	1
titties	1
buttload	1
druggie	1
titty	1
molestered	1
buttwipe	1
buttbaby	1
gaymo	1
shitting	1
gayest	1
