word	count
shit	17
ass	12
asshole	12
cock	10
piiiss	5
balls	4
bitch	4
fat	3
tampon	3
jew	3
pussy	3
aaass	3
shitballs	3
jews	3
titties	3
asspussy	2
sex	2
sshshit	2
dickfart	2
dickshit	2
hell	2
butthole	2
titty	2
cocknose	1
cocknut	1
buttmunch	1
dumbshit	1
dickface	1
shitfag	1
boner	1
dicktits	1
dick	1
assholelicking	1
retard	1
cocksucker	1
goddamn	1
lame	1
jewish	1
vagina	1
faggot	1
cumballs	1
fucking	1
asscheeks	1
jizz	1
douche	1
shithead	1
ginger	1
penises	1
crapfilled	1
dickhead	1
ho	1
vaginal	1
