character	value	profanities	line	profanityList
Stan	4	0	Okay, here he comes.	[]
Kyle	5	0	Who wants to tell him?	[]
Cartman	4	0	I'll do it.	[]
Butters	25	0	Hehey, fellas. I'm glad you called me. There was a pie-eating contest down at the firehouse, and I thought we should all go.	[]
Cartman	7	0	Butters, could you take a seat, please?	[]
Butters	3	0	Wuh well, sure.	[]
Cartman	9	0	Butters, we have to have a very difficult conversation.	[]
Butters	4	0	Wull what is it?	[]
Cartman	23	0	Well, in the, in the months since our friend Kenny died, you've really stepped up as a friend and filled the gap.	[]
Butters	13	0	Well uh, it's my pleasure! I love bein' you guys' new friend.	[]
Cartman	9	0	Yes. Well, Butters, it's just not working out.	[]
Butters	3	0	Not working out?	[]
Cartman	18	0	I'm afraid we're gonna have to let you go, as our friend. You're just tooo...	[]
Kyle	1	1	Lame	['lame']
Cartman	2	1	Lame, yes.	['lame']
Butters	7	0	Well, but ah I can get better.	[]
Stan	26	0	Butters, you just don't really fit in with us here. We think it's best for all of us if you for friendship opportunities elsewhere.	[]
Kyle	22	1	But we certainly want to thank you for all your hard work and attempts at being our friend, lame as they were.	['lame']
Butters	20	0	Huh but ah I thought we were gettin' along... great. Heh ah I thought we were really havin' fun together.	[]
Cartman	5	0	Yes, well, we weren't.	[]
Butters	7	0	Please, fellas, uh don't fire me.	[]
Kyle	9	0	We're sorry, Butters.  Our mind is made up.	[]
Cartman	15	0	But we certainly wanna thank you for coming by.  You know the way out, right?	[]
Kyle	1	0	Phew.	[]
"Stan, Cartman"	1	0	Phew.	[]
Kyle	10	0	Hm, I think he took that pretty well, I think.	[]
Cartman	2	0	Who cares?	[]
Stan	20	0	All right, so let's get started on who's gonna be the new person to take Kenny's place.	[]
Butters	136	3	The world isn't fair. I do everything people ask me to. I stand in the lunch line for them, I buy tampons at the store for them, I go on Maury Povich with balls on my chin for them.  And yet, nobody accepts me. I am an outcast. A shadow of a man who can find no companion... ship. No love from others.  Fine!  If I am to be an outcast, so be it!  I'm through doin' what others tell me to do, and I am sick of this world and the stin-, and the stinky people in it!  From now on I will dedicate my life to bringing chaos to the world that has rejected me!  I will become the greatest supervillain  the world has ever seen!  Where I go, destruction will follow!	['tampons', 'balls', 'stinky']
Butters	16	0	Prepare, O little town! Uh prepare for the greatest supervillain you've ever seen! Professor Chaos!	[]
Linda	4	0	Butters, time for bed.	[]
Butters	14	0	Hu-uh, okay Mom.  Yes. Uh sleet sleep for now.  Tomorrow, the chaos begins.	[]
Cartman	95	0	All right, we wanna thank everybody for coming. This is a great turnout.  Uh, as you know, our friend Kenny died a few months ago and we are still looking to fill the void with a new friend. Now, you've all been selected as possible candidates, but unfortunately, there is only room for one of you. So Stan and Kyle and I will be spending the next few days going out with each one of you and narrowing our choices down. Until we think we've found the perfect friend. Are there any questions?	[]
Clyde	10	0	...What if we don't want to be your friend?	[]
Cartman	76	0	Clyde... ... okay. Now, the first thing we have to do is cut the list down from twenty choices to ten. And so today we will all be going to the amusement park together to see who we want to cut. Please keep in mind that this will all be videotaped, so put on your best friend faces, and may the best friend win. Oh, and we will be needing a ten dollar per person entrance fee.	[]
Bennigan's Chef	12	0	Order twenty-three is up, and uh, order twenty-four is up.	[]
Man 1	13	0	Uh, waitress, a-a-actually, I ordered the chicken soup. This is minnestrone.	[]
Man 2	7	0	Yeah, I had the minnestrone over here.	[]
Butters	15	0	I am Professor Chaos, and now, this puny world uh will bow down to me!	[]
Stan	29	0	So today we went to the amusement park with all our possible friends.  It was a really fun time. We rode all the rides and everyone got along great.	[]
Cartman	14	0	I think the person that stood out most at the amusement park was Jimmy.	[]
Jimmy	27	0	Well, the, the reason I think I would make the perfect foreh- friend, is that I love telling jokes. You know, who doesn't like to laugh?	[]
Kyle	20	0	Tweek. Now there's an interesting choice. Tweek has a lot of qualities that I look for in a friend.	[]
Tweek	33	0	What if they don't pick me? What if they get us all, man! I mean, Christ! If they can get to the Pentagon, then they can get to us all, man! Aaaa!	[]
DogPoo	32	0	I think I deserve to take Kenny's place the most, because, I've been hanging around these guys for like five years and I never get to say or do anything.	[]
Cartman	20	0	...Yeah, I've only seen that kid in class, but he never does anything. He's more like a prop.	[]
Kyle	27	0	Towelie is a tough choice because,  even though I can see how always having a towel around can come in handy, he's just always so high.	[]
Towelie	20	0	Man, I really hope I win, because... wait... why is this again? I have no idea what's goin' on.	[]
Cartman	54	1	We decided to get some one-on-one time with Jimmy and ride the log ride.  The great thing was that, because Jimmy's crippled, we got to go to the front of the line.  That was definitely big points for Jimmy, you know, but, but then we got to the ride itself, and...	['crippled']
Jimmy	13	0	Hey, I-I'm gonna need some help getting in the log, fellas.	[]
Ride Operator	7	0	O! Shut her down. Someone needs assistance.	[]
Cartman	8	0	Oh, really?  That's gonna cost some points.	[]
Kyle	29	1	But right now I'd say if we're gonna have a retard for a friend, I, I have to pick Timmy. Because Timmy doesn't tell any jokes.	['retard']
Jimmy	12	0	Boy, isn't this great fellas? Are we great pals or what?	[]
Stan	13	0	One thing for sure: picking our new friend isn't gonna be easy.	[]
Butters	5	0	Kneel. Kneel before Professor Chaos!	[]
Butters	22	0	Ah, the look on their faces when they got the wrong soup. I love bringing chaos!  And that's only the beginning!	[]
Cartman	53	0	All right, everyone. It was a tough decision, but based on our time with you all at the amusement park, we have whittled our choices down to ten.  If you receive a rose, please stay. If you don't, get the fudge out.  Kyle, will you announce the people we want to stay?	[]
Kyle	4	0	Token.  Clyde.  Craig  Timmy	[]
Timmy	1	0	Timmih!	[]
Tweek	7	0	Oh man! This is too much pressure!	[]
Kyle	5	0	Pip  Jimmy  Jason  Towelie  Luigi .	[]
Cartman	11	0	Just one more rose left, Kyle. Who does it go to?	[]
Kyle	1	0	Tweek.	[]
Tweek	1	0	Aaarr!	[]
Cartman	13	0	All right, the rest of you, thanks for coming. Get the fudge out!	[]
DogPoo	14	0	I didn't make the cut?? Oh God, I didn't make the cut??	[]
Dougie	14	0	I didn't even get a chance to have them get to know me!	[]
Stan	23	0	All right, congratulations to those of you selected to stay. In the end, one of you will be the new Kenny.  Good luck.	[]
Linda	3	0	Good morning, Butters.	[]
Butters	27	0	It certainly is, Mother. Did ya hear about what's been goin' on? Some horrible new supervillain made somebody get the wrong soup order ot Bennigan's.	[]
Linda	7	0	No,  I didn't hear about that.	[]
Butters	4	0	Yeh, you didn't?	[]
Butters	12	0	Uh Dad, can I uh can I see the newspaper real quick?	[]
Chris	11	0	Why sure, Butters. I was just about to get some breakfast.	[]
Butters	36	0	Nothing.  Nothing!  It's the liberal media! They're keeping the stories of my deeds covered up, so as not to cause a panic. Well, I guess it's time to take it up a notch!	[]
Stan	2	0	Okay, next?	[]
Kyle	4	0	This looks pretty good.	[]
Stan	6	0	Yeah, it's not bad. Next?	[]
Timmy	1	0	Timmay!	[]
Cartman	1	0	Next?	[]
Cartman	36	0	Okay, so now we're gonna see how you all work as a friend during classtime. Your performances will be judged primarily on how you help us cheat and give us answers. So good luck, everybody.	[]
Ms. Choksondik	3	0	Sit down, boys.	[]
Cartman	2	0	Alrighty then.	[]
Ms. Choksondik	34	0	All right, children, before we get started, has anybody seen the eraser for the chalkboard?  It probably got knocked on the floor somewhere. Can you all just please look around your desks for it?	[]
Butters	69	0	Yes. Look around for your precious eraser. You won't find it. That eraser's in my back yard, buried three feet below the surface of the earth.  And do you even suspect me?? No! Now we shall all see how you all like your dear chalkboard without an eraser.  And information, it just keeps pilin' up and pilin' up, until your minuscule brains can take it no longer!	[]
Ms. Choksondik	26	0	No? Oh, oh well. Never mind. I've got a backup one in the desk.  Okay, today children, we're gonna learn about multiplying times five.	[]
Butters	12	0	So! You all think that you can outsmart Professor Chaos, do you?!	[]
Ms. Choksondik	20	0	Now, whenever we multiply a number times five, the result is going to end in a zero or a five.	[]
Butters	2	0	Ms. Choksondik,	[]
Ms. Choksondik	4	0	What is it, Butters?	[]
Butters	11	0	Ah, I need to go to the bathroom. R-really bad.	[]
Ms. Choksondik	14	0	Oh alright Butters. Take the bathroom pass and go.  Okay, so for instance, children-	[]
Butters	19	0	Alright. I'm goin' to the bathroom now. If anybody needs me, ah that's where I'll be.	[]
Ms. Choksondik	13	0	Just go, Butters.  Okay, so for instance, five times one is... what, Eric?	[]
Cartman	6	0	Uh, what's the question again?	[]
Ms. Choksondik	3	0	Five... times...  one.	[]
Cartman	6	0	Five times one is of course...	[]
The Class	1	0	Five.	[]
Cartman	1	0	Five.	[]
Butters	11	0	The time for fun and games is over, feeble-minded fools!	[]
Ms. Choksondik	3	0	Who are you?	[]
Butters	32	0	I am Professor Chaos! Bringer of destruction and maker of doom! Those who do not know me yet shall know me very soon, for the hour of Chaos ih-is at hand!	[]
Ms. Choksondik	11	0	Hey! That kid took my last eraser!  Come back here, kid!	[]
Butters	16	0	Oh! Ah, I'm back from the bathroom. Ah I really let one go in there.	[]
Ms. Choksondik	11	0	Butters, did you see another little kid run out of here?	[]
