character	words	profanities	profanities2
Liane	0.63	4.29	22
Randy	3.82	10.84	337
Stephen	0.58	6.99	33
Stan	8.48	13.56	935
Sheila	0.7	7.77	44
Narrator	0.6	7.44	36
Mr. Garrison	1.85	19.45	293
Kyle	7.84	17.8	1134
Ike	0.14	23.4	27
Linda	0.33	5.56	15
All	100.0	14.18	11527
Jimmy	1.04	14.97	126
Jesus	0.47	6.07	23
Cartman	15.99	21.49	2793
Craig	0.37	16.14	49
Wendy	0.75	10.7	65
Timmy	0.06	1.94	1
Sharon	1.06	8.37	72
Chef	1.37	16.93	189
Towelie	0.16	15.91	21
Kenny	0.51	41.31	172
Mr. Mackey	1.31	14.23	152
Jimbo	0.85	14.86	103
Clyde	0.31	12.25	31
Bebe	0.25	13.65	28
Announcer	0.92	6.83	51
Gerald	0.84	10.13	69
Butters	3.62	9.39	276
Satan	0.35	13.68	39
Token	0.3	12.4	30
Principal Victoria	0.48	6.72	26
Mayor	0.41	7.76	26
