word	count
fuck	73
hell	46
fucking	40
sex	38
fuckin	37
bitch	24
gingers	20
shit	18
crap	18
poop	18
balls	14
streisand	13
marijuana	11
asshole	11
ginger	11
fat	10
dammit	10
mcboogerballs	10
gay	10
ass	9
goddamnit	8
penis	8
jew	7
motherfucker	6
porn	6
weed	6
goddammit	6
dick	5
turd	5
retarded	5
assholes	5
ho	5
vaginas	4
butt	4
prick	4
bastard	4
butthole	3
jews	3
jewish	3
boobs	3
fucked	3
damn	3
heroin	3
bastards	3
jerk	2
rape	2
raped	2
bitchs	2
sexual	2
goddamned	2
whore	2
stinky	2
buttlicker	2
pussy	2
fudgepacker	2
bitches	2
goddamn	2
bullshit	2
vagina	2
slut	2
tits	2
tit	1
crack	1
asshoooles	1
douchebag	1
crippled	1
fucker	1
molested	1
damnit	1
cunt	1
sexaddiction	1
fag	1
whores	1
lame	1
scrotum	1
sexy	1
cocksucker	1
cripple	1
fucka	1
freak	1
drug	1
dicks	1
asses	1
crappin	1
bullcrap	1
drugs	1
arse	1
lazyass	1
assmunch	1
nuts	1
retard	1
crappy	1
anus	1
buttcheese	1
shithole	1
jizz	1
mcdickinass	1
motherfuckin	1
penises	1
vaginal	1
wanker	1
