word	count
butt	27
wiener	25
bitch	22
hamburgers	14
fat	12
gay	12
balls	10
bitches	10
ho	10
hell	8
butthole	7
shit	7
ass	6
poop	6
stinky	6
wieners	6
penis	5
motherfuckin	5
fuckin	5
boobs	4
jew	4
fuck	4
raped	3
tampons	3
asshole	3
turd	3
slut	3
crap	3
nuts	3
faggot	3
semen	2
freak	2
pussy	2
douche	2
drug	2
sex	2
scraped	2
badass	2
sexy	2
porn	2
vagina	2
anus	2
vaginas	2
rape	2
jews	2
jjewpacabra	2
damn	1
faggy	1
fucking	1
boobie	1
buttcrack	1
titties	1
micropenis	1
fag	1
heroin	1
scrotum	1
dumbasses	1
penisbutt	1
titty	1
douchebag	1
ogayedmi	1
crapped	1
gassy	1
cheesing	1
jackass	1
butts	1
queef	1
assholes	1
condoms	1
jewboy	1
dick	1
nigger	1
goddamned	1
goddamnit	1
wwieners	1
fart	1
huhuhorny	1
crippled	1
whore	1
jewish	1
drugs	1
jewpacabra	1
chinballs	1
queer	1
