word	count
hell	28
damn	20
ass	12
sex	10
dammit	9
balls	8
drugs	8
gay	8
shit	7
sexual	7
crap	6
fat	5
butt	5
asshole	5
crackerass	4
streisand	4
damnit	4
semen	3
bastards	3
asses	3
damned	3
britches	2
goddamned	2
poo	2
condom	1
marijuana	1
metrosexual	1
hash	1
retarded	1
shitthe	1
bullcrap	1
bum	1
shits	1
booboojeebees	1
homosexual	1
bitch	1
theheterosexual	1
bastard	1
stinky	1
nuts	1
bitchscare	1
anal	1
goddamn	1
scuzzlebutt	1
queer	1
whore	1
fuckin	1
