word	count
hell	159
fat	73
ass	62
crap	46
asshole	33
shit	33
bastards	33
damn	32
fuck	32
balls	30
gay	26
jew	26
goddamnit	25
fucking	24
bastard	24
bitch	24
jewish	22
crack	21
sex	20
douche	19
dammit	16
goddammit	14
turd	14
dick	13
dumbass	13
jews	13
damnit	13
retarded	12
retard	12
goddamned	10
farts	9
fart	8
poo	8
butt	7
gingers	7
wiener	7
fuckin	7
goddamn	6
penis	5
freak	5
fucked	5
raped	4
vagina	4
butthole	4
metrosexual	4
pussy	3
damned	3
streisand	3
gayass	3
assholes	3
nuts	3
farted	3
bullcrap	3
asses	3
boobs	3
hash	3
fatso	3
cheesing	3
jewleeard	3
basement	3
anal	3
whore	3
jewbilee	3
smartass	2
crapped	2
queef	2
faggy	2
itits	2
mung	2
shithead	2
sonofabitch	2
jewpacabra	2
dildo	2
ginger	2
fag	2
fatty	2
shitty	2
butts	2
molestered	2
queer	2
gays	2
tits	2
scuzzlebutt	2
gaywad	1
titty	1
amusement	1
molest	1
bitches	1
sssex	1
jizz	1
asswipe	1
doucher	1
penises	1
douches	1
shitballs	1
semen	1
sexy	1
crippled	1
rape	1
ggay	1
douchey	1
ratfucking	1
shity	1
lardbutt	1
dombass	1
oddamnedgay	1
farting	1
craphole	1
stinky	1
nonginger	1
badass	1
tampons	1
gaywads	1
assface	1
homo	1
vaginal	1
fartboy	1
heroin	1
motherfucker	1
marijuana	1
queermos	1
drugs	1
crapping	1
godddamnit	1
hamburgers	1
gaass	1
hippoass	1
fags	1
marijawana	1
sexchange	1
boner	1
poop	1
porno	1
gayness	1
douchebags	1
drug	1
dickhole	1
pigfucking	1
queefing	1
retards	1
penisbutt	1
porn	1
molested	1
