word	count
hell	28
crap	21
fuck	19
ass	17
damn	13
nigger	12
porn	12
shit	11
gay	11
boobs	11
penis	10
fuckin	9
asshole	7
dammit	7
fart	7
fucking	5
marijuana	5
balls	5
farts	5
porno	5
bastards	4
masturbate	4
damned	4
vagina	4
cock	4
pornographic	3
turd	3
goddamned	3
bitch	3
dick	3
weed	3
blowjobs	3
shitty	3
drugs	2
bitches	2
blowjob	2
sexual	2
gingers	2
butt	2
fat	2
assholes	2
goddammit	2
homosexual	2
sex	2
queefing	2
jew	2
basement	2
sexless	1
cum	1
cunt	1
queefed	1
molest	1
anus	1
gingerly	1
sluts	1
penises	1
queef	1
asses	1
pornos	1
condoms	1
streisand	1
ginger	1
mcboogerballs	1
homosexuals	1
queefs	1
pricks	1
niggers	1
bastard	1
jakovasaurs	1
sonofabitch	1
crappy	1
smartasses	1
goddamn	1
homo	1
jews	1
fag	1
horny	1
faggots	1
freak	1
metrosexual	1
farted	1
gaywads	1
douche	1
bullshit	1
boner	1
stinky	1
aporno	1
dickhole	1
goddamnit	1
damnit	1
assfuck	1
sexy	1
fags	1
