word	count
hell	133
ass	70
crap	51
shit	50
gay	35
fat	34
damn	30
fuck	28
bitch	27
goddamnit	24
asshole	20
sex	19
douche	18
dick	16
damnit	14
goddammit	13
fucking	13
dammit	13
dumbass	11
jewish	9
crappy	8
goddamned	8
sexual	8
balls	8
fucked	8
drugs	7
goddamn	7
farts	7
fags	6
retarded	6
turd	6
shitty	6
assholes	6
boobs	6
asses	5
ginger	5
asssucker	5
fuckin	5
bullcrap	4
badass	4
gingers	4
freak	4
buttpipe	4
homosexual	4
fart	4
poo	4
raped	3
bastards	3
condoms	3
pussy	3
douchebag	3
queef	3
butt	3
gaywad	3
fag	3
dildo	3
jew	3
porn	3
scuzzlebutt	3
queefing	2
assmaster	2
amusement	2
crapped	2
smartass	2
sexy	2
mung	2
crotch	2
farting	2
bastard	2
douchey	2
butthole	2
marijuana	2
poop	2
anal	2
wiener	2
butts	2
shits	2
wieners	2
homosexuals	2
boneration	2
slut	2
basement	2
gays	2
whore	2
farted	1
condom	1
fatasss	1
semen	1
titty	1
titties	1
goddamnnit	1
fucks	1
anus	1
asswipe	1
sluts	1
dickhole	1
douches	1
damned	1
scuzzlebutts	1
kickass	1
shittin	1
homophobes	1
streisand	1
bum	1
gayer	1
scumbag	1
looongass	1
metrosexual	1
buttwipe	1
artwhore	1
dipshit	1
gayest	1
molester	1
jakovasaurs	1
sexaddiction	1
druggie	1
sonofabitchs	1
vagina	1
buttbaby	1
cock	1
gaymo	1
queer	1
fartboy	1
gaywads	1
hemolested	1
queermos	1
ho	1
scums	1
badasses	1
crack	1
heroin	1
nuts	1
bullshit	1
fatso	1
shitting	1
penis	1
meecrob	1
cheesing	1
buttpirate	1
dumbasses	1
douchebags	1
molestered	1
assfaces	1
superfatass	1
rectal	1
lameass	1
whatabutt	1
supergay	1
buttload	1
penisbutt	1
nonhomos	1
vaginas	1
pigfucker	1
dicketry	1
