character	value	profanities	line	profanityList
Cartman	5	0	Stan, you guys are good!	[]
Randy	6	0	Sharon, what are the boys doing?	[]
Sharon	10	0	Oh, Stan and Kyle bought a new video game together.	[]
Randy	5	0	They can play guitar now?	[]
Sharon	23	0	No, no, they're just little plastic controllers. You hit the colored buttons and it makes the guitar track on the game play.	[]
Randy	1	0	Ohhh.	[]
Sharon	22	0	If they spent half the time learning a real instrument as they do playing that game, who knows what they could accomplish.	[]
Randy	2	0	Hey yeah...	[]
Stan	9	0	Dude, listen to that video crowd! They love us!	[]
Randy	7	0	So you boys like this music, huh?	[]
Kyle	5	0	Yeah, dude. Its Guitar Hero.	[]
Butters	8	0	Stan and Kyle are really good at it.	[]
Randy	43	0	Well you kids wanna see something really cool?  Check this out.  Once, I rose above the noise and confusion Just to get a glimpse beyond this illusion. I was soaring ever higher But I flew too high. Though my eyes could see I-	[]
Stan	6	0	Dad? Dad! What are you doing?!	[]
Randy	21	0	I can actually play a lot of these songs on a real guitar. You want me to teach you boys how?	[]
Cartman	6	1	Uhh, that's gay, Mr. Marsh.	['gay']
Stan	5	0	Yeah, that's stupid, Dad.	[]
Randy	5	0	But... But this is real.	[]
Cartman	6	0	Real guitars are for old people.	[]
Craig	11	0	Do you mind, sir? We wanna watch Stan and Kyle play.	[]
Stan	11	0	Alright, let's try to score 60,000 points this time.	[]
M.C.	5	0	Are you ready to rock?	[]
Kansas	25	0	Carry on my wayward son There'll be peace when you are done Lay your weary head to rest Don't you cry no more	[]
M.C.	4	0	Game over! You suck!	[]
Butters	5	0	They're gonna do it!	[]
Cartman	7	0	Come on, guys, a hundred thousand points!	[]
Kyle	6	0	Cartman, shut up. We're concentrating.	[]
M.C	11	0	You have broken a hundred thousand points! You. Are. Rock stars!	[]
Stan	7	0	Dude, we are total rock stars now!	[]
Randy	12	0	You're not rock stars! This is just a stupid plastic controller!	[]
Stan	2	0	Hang on.	[]
Man	2	0	Stan Marsh?	[]
Stan	1	0	Yeah?	[]
Man	21	0	I'm Charles Kincade, from the Kincade Talent Agency? I just heard you broke a hundred thousand points on Guitar Hero.	[]
Stan	3	0	Yeah, we did.	[]
Mr. Kincade	11	0	I'm impressed.  And I'd like to be your manager.	[]
Stan	12	0	Wow, really??  Dude! Dude, Kyle, this guy wants to be our manager!	[]
Randy	2	0	No way!	[]
Kyle	2	0	For reals?	[]
