character	words	profanities	profanities2
Wendy	0.75	10.7	65
Mr. Garrison	1.85	19.32	291
Randy	3.82	10.88	338
Sheila	0.7	7.94	45
Stan	8.48	13.58	936
All	100.0	14.28	11609
Jimbo	0.85	14.86	103
Gerald	0.84	10.27	70
Jimmy	1.04	14.85	125
Butters	3.62	10.51	309
Timmy	0.06	1.94	1
Bebe	0.25	13.16	27
Ike	0.14	23.4	27
Announcer	0.92	6.97	52
Token	0.3	12.82	31
Chef	1.37	17.11	191
Cartman	15.99	21.63	2811
Stephen	0.58	7.41	35
Narrator	0.6	7.44	36
Kenny	0.51	41.31	172
Towelie	0.16	15.91	21
Liane	0.63	4.49	23
Principal Victoria	0.48	6.46	25
Satan	0.35	13.33	38
Mr. Mackey	1.31	14.33	153
Kyle	7.84	17.87	1138
Jesus	0.47	6.07	23
Sharon	1.06	8.49	73
Mayor	0.41	7.46	25
Clyde	0.31	12.64	32
Linda	0.33	5.93	16
Craig	0.37	16.14	49
