word	count
shit	133
hell	64
goddamnit	36
sex	32
ass	31
gay	29
asshole	23
fag	21
shitty	19
condom	16
ho	15
vagina	14
condoms	13
sexual	13
balls	12
wiener	12
fat	11
crap	11
jew	11
gays	11
damn	11
penis	11
bastards	9
goddamned	8
damnit	8
fuck	7
meecrob	7
bitch	6
sonofabitch	6
fart	6
dumbass	5
farted	5
goddamn	5
pube	5
sexually	5
cripple	5
homosexual	5
amusement	4
drugs	4
pussy	4
asses	4
shits	4
damned	4
fagshitty	4
buttocks	3
nuts	3
gayass	3
assfleck	3
poop	3
assholes	3
goddammit	3
jews	3
jewish	3
whore	3
fuckin	3
gaywad	2
fucking	2
anus	2
smartass	2
shitforbrains	2
jackass	2
homosexuals	2
farting	2
jerk	2
bastard	2
craphole	2
molester	2
homosexuality	2
vaginal	2
retard	2
douche	2
crappy	2
butt	2
butts	2
shity	2
crack	2
slut	2
scumbag	1
fatasss	1
titty	1
motherfuckerrrs	1
molest	1
goddamnnit	1
bitches	1
sluts	1
dammit	1
crackerass	1
homophobes	1
bullshitting	1
shitthe	1
looongass	1
ginger	1
fagshitter	1
asssniffin	1
woodcock	1
fartface	1
bitchscare	1
fireballs	1
fuckers	1
cock	1
smartasses	1
asscheeks	1
gaymo	1
motherfucker	1
prick	1
scrotum	1
freak	1
tits	1
homophobe	1
gaass	1
fatso	1
boner	1
stinky	1
dickface	1
penisbiting	1
assface	1
assfaces	1
drug	1
bullshit	1
jizzfest	1
bullcrap	1
cocksucking	1
jewboy	1
queer	1
